method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
fiqa_l_5bin,0.2,conditional-threshold-43fa2487619f97b797551392,q2,14739,4774,-0.5003130435943604,0.9866122230403641,-0.5003130435943604,-0.5053229331970215,-0.5003130435943604,False,0.19994572223353008,0.19040636782572268,True,True
fiqa_l_5bin,0.2,conditional-threshold-43fa2487619f97b797551392,q3,14831,5423,-0.48917967081069946,0.9866941653915242,-0.48917967081069946,-0.49492067098617554,-0.48917967081069946,False,0.19998651473265458,0.18771897473723032,True,True
fiqa_l_5bin,0.2,conditional-threshold-43fa2487619f97b797551392,q4,14640,5580,-0.5280691385269165,0.9865229110512129,-0.5280691385269165,-0.5242931246757507,-0.5242931246757507,False,0.19385245901639345,0.2,True,True
fiqa_l_5bin,0.2,conditional-threshold-43fa2487619f97b797551392,q5,14515,4991,-0.7543023228645325,0.9864084267753993,-0.7512809316236229,-0.7507215738296509,-0.7507215738296509,False,0.19538408542886668,0.1999599278701663,True,True
global_empirical,0.3,conditional-threshold-553cb1ff64339416ae34ca10,all,98825,0,-0.5841863751411438,1.0,-0.5841863751411438,,-0.5841863751411438,False,0.2999949405514799,,True,
global_safe,0.3,conditional-threshold-fa7b256f116b8201aa769539,all,73447,25378,-0.5824652314186096,1.0,-0.5824652314186096,-0.5889704823493958,-0.5824652314186096,False,0.29999863847400166,0.2879659547639688,True,True
fiqa_s_2bin,0.3,conditional-threshold-bddd66b5b83560feef25116c,low,36600,12634,-0.5533793568611145,0.9945652173913043,-0.5533793568611145,-0.5607356429100037,-0.5533793568611145,False,0.3,0.2834415070444831,True,True
fiqa_s_2bin,0.3,conditional-threshold-bddd66b5b83560feef25116c,high,36847,12744,-0.6215181946754456,0.9946014522093557,-0.6213073653869373,-0.627241313457489,-0.6213073653869373,False,0.29953591879935954,0.28962649089767734,True,True
fiqa_l_2bin,0.3,conditional-threshold-ac33bed14ca098b79c4734a0,low,36880,12160,-0.5510275363922119,0.9946062567421791,-0.5510275363922119,-0.5588579177856445,-0.5510275363922119,False,0.3,0.27935855263157894,True,True
fiqa_l_2bin,0.3,conditional-threshold-ac33bed14ca098b79c4734a0,high,36567,13218,-0.6369109153747559,0.9945603394348193,-0.6366147493347952,-0.6364080905914307,-0.6364080905914307,False,0.2991768534470971,0.29996973823573914,True,True
fiqa_s_5bin,0.3,conditional-threshold-5729e4afab3c8d201bbcf73e,q1,14509,4947,-0.5493828654289246,0.9864028825888912,-0.5493828654289246,-0.5554068088531494,-0.5493828654289246,False,0.2999517540836722,0.2858297958358601,True,True
fiqa_s_5bin,0.3,conditional-threshold-5729e4afab3c8d201bbcf73e,q2,14732,5142,-0.5530575513839722,0.98660594695955,-0.5530575513839722,-0.5631905198097229,-0.5530575513839722,False,0.29995927233233777,0.2761571373006612,True,True
fiqa_s_5bin,0.3,conditional-threshold-5729e4afab3c8d201bbcf73e,q3,14684,5025,-0.567048966884613,0.9865627519484009,-0.567048966884613,-0.5727611780166626,-0.567048966884613,False,0.29998637973304276,0.28875621890547265,True,True
fiqa_s_5bin,0.3,conditional-threshold-5729e4afab3c8d201bbcf73e,q4,14762,5130,-0.5901047587394714,0.9866328031011897,-0.5900026396735597,-0.5930683612823486,-0.5900026396735597,False,0.2995529061102832,0.291812865497076,True,True
fiqa_s_5bin,0.3,conditional-threshold-5729e4afab3c8d201bbcf73e,q5,14760,5134,-0.7069852948188782,0.9866310160427807,-0.7053205880889281,-0.7041984796524048,-0.7041984796524048,False,0.29579945799457996,0.2999610440202571,True,True
fiqa_l_5bin,0.3,conditional-threshold-3924943bd4b5363b0d30a2a7,q1,14722,4610,-0.5704718232154846,0.9865969709154269,-0.5704718232154846,-0.5864755511283875,-0.5704718232154846,False,0.299959244667844,0.2609544468546638,True,True
fiqa_l_5bin,0.3,conditional-threshold-3924943bd4b5363b0d30a2a7,q2,14739,4774,-0.5411756634712219,0.9866122230403641,-0.5411756634712219,-0.5469628572463989,-0.5411756634712219,False,0.29995250695433884,0.2850858818600754,True,True
fiqa_l_5bin,0.3,conditional-threshold-3924943bd4b5363b0d30a2a7,q3,14831,5423,-0.5348806977272034,0.9866941653915242,-0.5348806977272034,-0.536855936050415,-0.5348806977272034,False,0.29997977209898186,0.29522404573114513,True,True
fiqa_l_5bin,0.3,conditional-threshold-3924943bd4b5363b0d30a2a7,q4,14640,5580,-0.5825248956680298,0.9865229110512129,-0.5825240915676333,-0.5845688581466675,-0.5825240915676333,False,0.29993169398907105,0.2953405017921147,True,True
fiqa_l_5bin,0.3,conditional-threshold-3924943bd4b5363b0d30a2a7,q5,14515,4991,-0.8275213837623596,0.9864084267753993,-0.8241906851236407,-0.8123573660850525,-0.8123573660850525,False,0.2770926627626593,0.29993989180524944,True,True
