split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir
test,q5,25425,0.20885358480646646,1214,0.04774827925270403,-0.48778437317055173,-0.38321902632713317,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.05
fit,q1,14722,0.20044385747545848,734,0.04985735633745415,-0.4418698975953927,-0.37885849535465277,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
fit,q2,14739,0.20067531689517612,722,0.04898568423909356,-0.41520819067955017,-0.36006390333175664,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
fit,q3,14831,0.20192792081364794,741,0.04996291551480008,-0.3993757963180542,-0.3357964873313904,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
fit,q4,14640,0.19932740615682057,661,0.04515027322404372,-0.4005228579044342,-0.33332458347082133,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
fit,q5,14515,0.1976254986588969,698,0.04808818463658285,-0.6063553094863892,-0.49721091687679264,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
safety,q1,4610,0.18165340058318227,206,0.04468546637744035,-0.4418698975953927,-0.3874868568778038,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
safety,q2,4774,0.18811569075577272,238,0.04985337243401759,-0.41520819067955017,-0.3529837191104895,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
safety,q3,5423,0.21368902198754827,253,0.04665314401622718,-0.3993757963180542,-0.3380986028909689,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
safety,q4,5580,0.21987548270155252,279,0.05,-0.4005228579044342,-0.33821527808904644,"[0.434638302, 0.5185951400000001, 0.60444774, 0.766489454]",False,fiqa_l_5bin,0.05
