reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment
global_safe,fiqa_s_5bin,0.2,tpir_at_rank_k,1463,1490,1275,60423,0.0004468497095476888,-0.0008609874912993098,0.001840138416136477,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l_5bin,0.2,fpir,22069,22471,17951,121736,0.003302227771571269,0.001782340474469344,0.004822115068673193,query,2000,8972,False,none
global_empirical,fiqa_l_5bin,0.2,tpir_at_rank_k,1471,1565,1195,60423,0.0015556989887956572,-0.00031157843946274356,0.00326333079740286,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l_5bin,0.2,fpir,21900,22471,17943,121736,0.004690477755142275,0.003203653808240783,0.006243017677597424,query,2000,8972,False,none
global_safe,fiqa_l_5bin,0.2,tpir_at_rank_k,1463,1565,1195,60423,0.0016880989027357133,-0.0001683204826662495,0.0033898357441346314,mated_identity_cluster,2000,8972,False,none
fiqa_s_2bin,fiqa_l_2bin,0.2,fpir,22075,21926,19393,121736,-0.0012239600446868634,-0.0023164881382664124,-4.086712229743163e-05,query,2000,8972,False,none
fiqa_s_2bin,fiqa_l_2bin,0.2,tpir_at_rank_k,1442,1524,1303,60423,0.0013570991178855733,0.00032327048636546246,0.0024257093376734117,mated_identity_cluster,2000,8972,False,none
fiqa_s_5bin,fiqa_l_5bin,0.2,fpir,22053,22471,17218,121736,0.003433659722678583,0.0018154038246697773,0.005159320168232894,query,2000,8972,False,none
fiqa_s_5bin,fiqa_l_5bin,0.2,tpir_at_rank_k,1490,1565,1172,60423,0.0012412491931880244,-0.00044222424827404706,0.002897254179493165,mated_identity_cluster,2000,8972,False,none
fiqa_s_2bin,fiqa_s_5bin,0.2,fpir,22075,22053,19902,121736,-0.00018071893277255702,-0.0011666639285010183,0.0008953801669185779,query,2000,8972,False,none
fiqa_s_2bin,fiqa_s_5bin,0.2,tpir_at_rank_k,1442,1490,1324,60423,0.0007943994836403357,8.032235912000443e-05,0.0016636569453849354,mated_identity_cluster,2000,8972,False,none
fiqa_l_2bin,fiqa_l_5bin,0.2,fpir,21926,22471,17384,121736,0.004476900834592889,0.002817367089439443,0.006087147598081092,query,2000,8972,False,none
fiqa_l_2bin,fiqa_l_5bin,0.2,tpir_at_rank_k,1524,1565,1174,60423,0.0006785495589427867,-0.0009224542411776861,0.0022411582176562533,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s_2bin,0.3,fpir,33045,32659,29018,121736,-0.0031707958204639547,-0.0046003236511796015,-0.0017823404744693448,query,2000,8972,False,none
global_empirical,fiqa_s_2bin,0.3,tpir_at_rank_k,2161,2152,1890,60423,-0.00014894990318256292,-0.001300616996726815,0.0009808281643269787,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s_2bin,0.3,fpir,32654,32659,28847,121736,4.1072484721035685e-05,-0.0013802408490504038,0.0014706003154366814,query,2000,8972,False,none
global_safe,fiqa_s_2bin,0.3,tpir_at_rank_k,2140,2152,1879,60423,0.00019859987091008392,-0.0009419541639846642,0.001318644166083394,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l_2bin,0.3,fpir,33045,32877,28348,121736,-0.001380035486626799,-0.002908342643096536,0.0002550601301176294,query,2000,8972,False,none
global_empirical,fiqa_l_2bin,0.3,tpir_at_rank_k,2161,2300,1916,60423,0.002300448504708472,0.001150097103856266,0.0035634071765449937,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l_2bin,0.3,fpir,32654,32877,28193,121736,0.0018318328185581915,0.00031194552145626635,0.003409221594269566,query,2000,8972,False,none
global_safe,fiqa_l_2bin,0.3,tpir_at_rank_k,2140,2300,1907,60423,0.002647998278801119,0.001501402789748518,0.003923214561890528,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s_5bin,0.3,fpir,33045,32879,28685,121736,-0.0013636064927383847,-0.002842626667542879,0.00014806630741933253,query,2000,8972,False,none
global_empirical,fiqa_s_5bin,0.3,tpir_at_rank_k,2161,2169,1867,60423,0.00013239991394005594,-0.0013747427929399476,0.0017631676304159533,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s_5bin,0.3,fpir,32654,32879,28559,121736,0.0018482618124466058,0.0004025103502661497,0.0033681491095485304,query,2000,8972,False,none
global_safe,fiqa_s_5bin,0.3,tpir_at_rank_k,2140,2169,1864,60423,0.0004799496880327028,-0.0010243572739439164,0.0020424622132476605,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l_5bin,0.3,fpir,33045,33550,27089,121736,0.004148320956824604,0.0022585759348097527,0.0060622987448248665,query,2000,8972,False,none
global_empirical,fiqa_l_5bin,0.3,tpir_at_rank_k,2161,2351,1790,60423,0.0031444979560763284,0.0011090446033904613,0.005115126222936109,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l_5bin,0.3,fpir,32654,33550,27060,121736,0.007360189262009594,0.005569018203325229,0.00923350529013603,query,2000,8972,False,none
global_safe,fiqa_l_5bin,0.3,tpir_at_rank_k,2140,2351,1788,60423,0.0034920477301689755,0.00142762848884106,0.0054576346680553535,mated_identity_cluster,2000,8972,False,none
fiqa_s_2bin,fiqa_l_2bin,0.3,fpir,32659,32877,28473,121736,0.0017907603338371558,0.00027908753367943785,0.003367943747124926,query,2000,8972,False,none
fiqa_s_2bin,fiqa_l_2bin,0.3,tpir_at_rank_k,2152,2300,1912,60423,0.002449398407891035,0.0011049826549069687,0.0039244563590127195,mated_identity_cluster,2000,8972,False,none
fiqa_s_5bin,fiqa_l_5bin,0.3,fpir,32879,33550,26182,121736,0.005511927449562989,0.0035566718144180855,0.007450959453243081,query,2000,8972,False,none
fiqa_s_5bin,fiqa_l_5bin,0.3,tpir_at_rank_k,2169,2351,1754,60423,0.0030120980421362727,0.0010265122508361171,0.004915357975562516,mated_identity_cluster,2000,8972,False,none
fiqa_s_2bin,fiqa_s_5bin,0.3,fpir,32659,32879,29690,121736,0.00180718932772557,0.0005750147860944996,0.0031132943418545047,query,2000,8972,False,none
fiqa_s_2bin,fiqa_s_5bin,0.3,tpir_at_rank_k,2152,2169,1950,60423,0.0002813498171226189,-0.0006091299698076198,0.0012017279240238753,mated_identity_cluster,2000,8972,False,none
fiqa_l_2bin,fiqa_l_5bin,0.3,fpir,32877,33550,26796,121736,0.005528356443451403,0.0036965236248932116,0.007410297693369253,query,2000,8972,False,none
fiqa_l_2bin,fiqa_l_5bin,0.3,tpir_at_rank_k,2300,2351,1808,60423,0.0008440494513678566,-0.0011392213126664003,0.00265288284573008,mated_identity_cluster,2000,8972,False,none
