method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
fiqa_l_5bin,0.2,conditional-threshold-1b62a26d214804f6743b2e5f,q3,14831,5423,-0.5444266200065613,0.9866941653915242,-0.5444266200065613,-0.5420684814453125,-0.5420684814453125,False,0.1955363765086643,0.19988936013276784,True,True
fiqa_l_5bin,0.2,conditional-threshold-1b62a26d214804f6743b2e5f,q4,14640,5580,-0.5879243016242981,0.9865229110512129,-0.5878416439593641,-0.5809060335159302,-0.5809060335159302,False,0.18975409836065574,0.2,True,True
fiqa_l_5bin,0.2,conditional-threshold-1b62a26d214804f6743b2e5f,q5,14515,4991,-0.8234862685203552,0.9864084267753993,-0.8202012509786066,-0.8122334480285645,-0.8122334480285645,False,0.18601446779193936,0.1999599278701663,True,True
global_empirical,0.3,conditional-threshold-cd634006dea598a987fe394b,all,98825,0,-0.6369486451148987,1.0,-0.6369486451148987,,-0.6369486451148987,False,0.2999949405514799,,True,
global_safe,0.3,conditional-threshold-4be6f85ade6e0d20d2accbd2,all,73447,25378,-0.6367332339286804,1.0,-0.6367332339286804,-0.6375387907028198,-0.6367332339286804,False,0.29999863847400166,0.2984080699818741,True,True
fiqa_s_2bin,0.3,conditional-threshold-a23b472c52dd8b8f9bea66c9,low,36600,12634,-0.6027360558509827,0.9945652173913043,-0.6027360558509827,-0.6033937335014343,-0.6027360558509827,False,0.3,0.2980845337976888,True,True
fiqa_s_2bin,0.3,conditional-threshold-a23b472c52dd8b8f9bea66c9,high,36847,12744,-0.6829584240913391,0.9946014522093557,-0.6827088751931144,-0.6797698140144348,-0.6797698140144348,False,0.29459657502646075,0.29998430634023854,True,True
fiqa_l_2bin,0.3,conditional-threshold-44431106dd536d9843f0f7d6,low,36880,12160,-0.5999742150306702,0.9946062567421791,-0.5999742150306702,-0.6018416285514832,-0.5999742150306702,False,0.3,0.29514802631578946,True,True
fiqa_l_2bin,0.3,conditional-threshold-44431106dd536d9843f0f7d6,high,36567,13218,-0.6973886489868164,0.9945603394348193,-0.6970587041174601,-0.6896248459815979,-0.6896248459815979,False,0.287444964038614,0.29996973823573914,True,True
fiqa_s_5bin,0.3,conditional-threshold-f4ddf309dc3827340290b6ee,q1,14509,4947,-0.5909421443939209,0.9864028825888912,-0.5909421443939209,-0.598304271697998,-0.5909421443939209,False,0.2999517540836722,0.2848190822720841,True,True
fiqa_s_5bin,0.3,conditional-threshold-f4ddf309dc3827340290b6ee,q2,14732,5142,-0.6052272915840149,0.98660594695955,-0.6052272915840149,-0.6053946614265442,-0.6052272915840149,False,0.29995927233233777,0.29910540645663164,True,True
fiqa_s_5bin,0.3,conditional-threshold-f4ddf309dc3827340290b6ee,q3,14684,5025,-0.6253557801246643,0.9865627519484009,-0.6253557801246643,-0.6209884881973267,-0.6209884881973267,False,0.2922228275674203,0.2999004975124378,True,True
fiqa_s_5bin,0.3,conditional-threshold-f4ddf309dc3827340290b6ee,q4,14762,5130,-0.6520434021949768,0.9866328031011897,-0.6518387481612073,-0.6486471891403198,-0.6486471891403198,False,0.293591654247392,0.3,True,True
fiqa_s_5bin,0.3,conditional-threshold-f4ddf309dc3827340290b6ee,q5,14760,5134,-0.7677469849586487,0.9866310160427807,-0.7659954642229538,-0.7678379416465759,-0.7659954642229538,False,0.2969512195121951,0.2970393455395403,True,True
fiqa_l_5bin,0.3,conditional-threshold-59869390bac00db6746843ab,q1,14722,4610,-0.609967052936554,0.9865969709154269,-0.609967052936554,-0.6243727207183838,-0.609967052936554,False,0.299959244667844,0.26876355748373104,True,True
fiqa_l_5bin,0.3,conditional-threshold-59869390bac00db6746843ab,q2,14739,4774,-0.5927836894989014,0.9866122230403641,-0.5927836894989014,-0.5914589166641235,-0.5914589166641235,False,0.2964922993418821,0.2999581064097193,True,True
fiqa_l_5bin,0.3,conditional-threshold-59869390bac00db6746843ab,q3,14831,5423,-0.592126727104187,0.9866941653915242,-0.592126727104187,-0.5865645408630371,-0.5865645408630371,False,0.28898927921246037,0.2998340401991518,True,True
fiqa_l_5bin,0.3,conditional-threshold-59869390bac00db6746843ab,q4,14640,5580,-0.6453397274017334,0.9865229110512129,-0.6452237369236599,-0.6364049911499023,-0.6364049911499023,False,0.28340163934426227,0.3,True,True
fiqa_l_5bin,0.3,conditional-threshold-59869390bac00db6746843ab,q5,14515,4991,-0.9008544087409973,0.9864084267753993,-0.8972645864533682,-0.8876401782035828,-0.8876401782035828,False,0.2821219428177747,0.29993989180524944,True,True
