dataset_id,model,compression_profile,method,target_fpir,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max
lfw,arcface,pq_512_m32_b8,continuous_fiqa,0.3,20,1,0.2997630331753554,0.3883293838862558,0.4069905213270142,0.98109243697479,0.9831932773109244,0.9831932773109244
lfw,arcface,pq_512_m32_b8,fiqa_2bin,0.01,20,0,0.0130331753554502,0.01658767772511845,0.0171800947867298,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m32_b8,fiqa_2bin,0.05,20,0,0.0515402843601895,0.0710900473933649,0.0781990521327014,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m32_b8,fiqa_2bin,0.1,20,0,0.1036729857819905,0.1409952606635071,0.1546208530805687,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m32_b8,fiqa_2bin,0.2,20,0,0.2097156398104265,0.2656990521327014,0.2790284360189573,0.9789915966386554,0.9800420168067228,0.98109243697479
lfw,arcface,pq_512_m32_b8,fiqa_2bin,0.3,20,1,0.2997630331753554,0.3912914691943128,0.4200236966824645,0.98109243697479,0.98109243697479,0.98109243697479
lfw,arcface,pq_512_m32_b8,fiqa_5bin,0.01,20,0,0.0100710900473933,0.0130331753554502,0.0165876777251184,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m32_b8,fiqa_5bin,0.05,20,1,0.0497630331753554,0.0613151658767772,0.072867298578199,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m32_b8,fiqa_5bin,0.1,20,0,0.1084123222748815,0.1356635071090047,0.1433649289099526,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m32_b8,fiqa_5bin,0.2,20,0,0.2008293838862559,0.2585900473933649,0.2707345971563981,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,arcface,pq_512_m32_b8,fiqa_5bin,0.3,20,1,0.2908767772511848,0.3744075829383886,0.3981042654028436,0.98109243697479,0.98109243697479,0.98109243697479
lfw,arcface,pq_512_m32_b8,global_safe,0.01,20,0,0.0154028436018957,0.0174763033175355,0.0177725118483412,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,arcface,pq_512_m32_b8,global_safe,0.05,20,0,0.0545023696682464,0.07760663507109,0.0805687203791469,0.9789915966386554,0.9789915966386554,0.9789915966386554
