regime,seed,target_fpir,method,reference_split,test_minus_reference,mixture_component,within_group_component
full_calibration,14,0.01,global_safe,safety,0.00595186850602024,0.0,0.00595186850602024
full_calibration,14,0.01,fiqa_s,safety,0.006190059161332884,-7.4227715733896635e-06,0.006197481932906274
full_calibration,14,0.01,fiqa_l,safety,0.0062558006420888514,7.139292275470989e-05,0.006184407719334142
full_calibration,14,0.05,global_empirical,safety,0.007239611596285646,0.0,0.007239611596285646
full_calibration,14,0.05,global_safe,safety,0.007485969989004929,0.0,0.007485969989004929
full_calibration,14,0.05,fiqa_s,safety,0.009210886821276867,-0.00011886266002951126,0.009329749481306378
full_calibration,14,0.05,fiqa_l,safety,0.006685079916713514,0.00010177760746049071,0.0065833023092530234
full_calibration,14,0.1,global_empirical,safety,0.001734556584211941,0.0,0.001734556584211941
full_calibration,14,0.1,global_safe,safety,0.0023340830842604604,0.0,0.0023340830842604604
full_calibration,14,0.1,fiqa_s,safety,0.0037386685426447352,-0.00017121014599827834,0.003909878688643017
full_calibration,14,0.1,fiqa_l,safety,0.0003585369524156251,0.00037218775141499095,-1.3650798999360197e-05
full_calibration,15,0.01,global_empirical,safety,0.004708626779846238,0.0,0.004708626779846238
full_calibration,15,0.01,global_safe,safety,0.004686012947413512,0.0,0.004686012947413512
full_calibration,15,0.01,fiqa_s,safety,0.004557963760306028,4.096489109206325e-06,0.004553867271196821
full_calibration,15,0.01,fiqa_l,safety,0.004514861617185095,2.389719963208592e-06,0.004512471897221886
full_calibration,15,0.05,global_empirical,safety,0.00344960609421132,0.0,0.00344960609421132
full_calibration,15,0.05,global_safe,safety,0.0035604538712858055,0.0,0.0035604538712858055
full_calibration,15,0.05,fiqa_s,safety,0.003968376643951679,1.941013562864024e-05,0.003948966508323044
full_calibration,15,0.05,fiqa_l,safety,0.0034307639885445274,7.472675915385632e-05,0.003356037229390674
full_calibration,15,0.1,global_empirical,safety,-0.00604558326278011,0.0,-0.00604558326278011
full_calibration,15,0.1,global_safe,safety,-0.005377209699678004,0.0,-0.005377209699678004
full_calibration,15,0.1,fiqa_s,safety,-0.005121883741607602,-2.5566434325510756e-07,-0.005121628077264347
full_calibration,15,0.1,fiqa_l,safety,-0.0064353294638039155,8.671058546483963e-05,-0.006522040049268754
full_calibration,16,0.01,global_empirical,safety,0.00540610849510713,0.0,0.00540610849510713
full_calibration,16,0.01,global_safe,safety,0.005224804761537666,0.0,0.005224804761537666
full_calibration,16,0.01,fiqa_s,safety,0.005205442668402211,-4.130094632246378e-06,0.005209572763034458
full_calibration,16,0.01,fiqa_l,safety,0.005137963195195333,1.3367109154924583e-06,0.00513662648427984
full_calibration,16,0.05,global_empirical,safety,0.0042804522598727385,0.0,0.0042804522598727385
full_calibration,16,0.05,global_safe,safety,0.004482305878696469,0.0,0.004482305878696469
full_calibration,16,0.05,fiqa_s,safety,0.0041742486003949475,-1.3997185451178362e-05,0.004188245785846132
full_calibration,16,0.05,fiqa_l,safety,0.003660262288216344,1.2591701746877894e-05,0.003647670586469468
full_calibration,16,0.1,global_empirical,safety,-0.003319633645815681,0.0,-0.003319633645815681
full_calibration,16,0.1,global_safe,safety,-0.0033407501413418583,0.0,-0.0033407501413418583
full_calibration,16,0.1,fiqa_s,safety,-0.002992214274378721,-4.0573339325430946e-07,-0.0029918085409854547
full_calibration,16,0.1,fiqa_l,safety,-0.0054184239721668526,1.4940384186899324e-05,-0.0054333643563537455
full_calibration,17,0.01,global_empirical,safety,0.002369739303304738,0.0,0.002369739303304738
full_calibration,17,0.01,global_safe,safety,0.0022892520321191757,0.0,0.0022892520321191757
full_calibration,17,0.01,fiqa_s,safety,0.0019360286635182692,1.4994687470913474e-07,0.0019358787166435581
full_calibration,17,0.01,fiqa_l,safety,0.0024371129771149046,-1.3868383543174214e-06,0.002438499815469221
full_calibration,17,0.05,global_empirical,safety,-0.004358112912227215,0.0,-0.004358112912227215
full_calibration,17,0.05,global_safe,safety,-0.0027457444876935813,0.0,-0.0027457444876935813
full_calibration,17,0.05,fiqa_s,safety,-0.003082538862406073,8.29345343107777e-07,-0.0030833682077491746
full_calibration,17,0.05,fiqa_l,safety,-0.0026553850213072855,-1.474516993283043e-06,-0.0026539105043140044
full_calibration,17,0.1,global_empirical,safety,-0.015649558910802344,0.0,-0.015649558910802344
full_calibration,17,0.1,global_safe,safety,-0.013953812934331428,0.0,-0.013953812934331428
full_calibration,17,0.1,fiqa_s,safety,-0.013304867675739074,5.502431964198029e-07,-0.01330541791893549
full_calibration,17,0.1,fiqa_l,safety,-0.013321296669627475,-3.267708803939527e-07,-0.013320969898747079
full_calibration,42,0.01,global_empirical,safety,0.003894929338285299,0.0,0.003894929338285299
full_calibration,42,0.01,global_safe,safety,0.0038148140714633575,0.0,0.0038148140714633575
full_calibration,42,0.01,fiqa_s,safety,0.0035683791631371427,1.3757999167839473e-07,0.003568241583145465
full_calibration,42,0.01,fiqa_l,safety,0.004242232656382147,3.7854476755782402e-06,0.004238447208706568
full_calibration,42,0.05,global_empirical,safety,0.0019850045313457576,0.0,0.0019850045313457576
full_calibration,42,0.05,global_safe,safety,0.001921847746052266,0.0,0.001921847746052266
