compression_profile,search_mode,threshold_policy,target_fpir,reference_profile,n,reference_fa,candidate_fa,both_fa,neither_fa,new_fa,lost_fa,delta_fpir,delta_ci_low,delta_ci_high
pq_512_m8_b8,pq_one_sided_cosine,frozen_origin,0.2,pq_512_m16_b8,121736,12393,16690,12155,104808,4535,238,0.03529769336925807,0.03414745843464546,0.03639042682526122
pq_512_m8_b8,pq_one_sided_cosine,recalibrated_compressed,0.2,pq_512_m16_b8,121736,20904,20874,18920,98878,1954,1984,-0.0002464349083262141,-0.001224370769534073,0.0007641535782348677
pq_512_m8_b8,pq_one_sided_cosine,frozen_origin,0.3,pq_512_m16_b8,121736,20163,25776,19827,95624,5949,336,0.04610797134783466,0.04475257935204048,0.04736478938029835
pq_512_m8_b8,pq_one_sided_cosine,recalibrated_compressed,0.3,pq_512_m16_b8,121736,31769,31729,29290,87528,2439,2479,-0.0003285798777682855,-0.0014706003154366823,0.0008298695537885248
pq_512_m64_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,pq_512_m128_b8,121736,1802,1633,1355,119656,278,447,-0.0013882499835710061,-0.0018154038246697773,-0.000961096142472235
pq_512_m64_b8,pq_adc_exhaustive,recalibrated_compressed,0.05,pq_512_m128_b8,121736,6470,6261,5536,114541,725,934,-0.0017168298613392916,-0.002390418610764277,-0.0010925280935795492
pq_512_m64_b8,pq_adc_exhaustive,recalibrated_compressed,0.1,pq_512_m128_b8,121736,11654,11411,10299,108970,1112,1355,-0.001996122757442334,-0.0028177778142866525,-0.0012321745416310704
pq_512_m64_b8,pq_adc_exhaustive,recalibrated_compressed,0.2,pq_512_m128_b8,121736,22069,21992,20191,97866,1801,1878,-0.0006325162647039496,-0.0015773887757113752,0.0003532233686009069
pq_512_m64_b8,pq_adc_exhaustive,recalibrated_compressed,0.3,pq_512_m128_b8,121736,33045,32905,30729,86515,2176,2316,-0.0011500295721889992,-0.0022101104028389297,-7.393047249786423e-05
pq_512_m32_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,pq_512_m64_b8,121736,1633,1410,1210,119903,200,423,-0.0018318328185581915,-0.002242763028192153,-0.0014211079713478346
pq_512_m32_b8,pq_adc_exhaustive,recalibrated_compressed,0.05,pq_512_m64_b8,121736,6261,6010,5239,114704,771,1022,-0.0020618387329959915,-0.002751856476309391,-0.001371820989682592
pq_512_m32_b8,pq_adc_exhaustive,recalibrated_compressed,0.1,pq_512_m64_b8,121736,11411,11085,9838,109078,1247,1573,-0.002677926003811527,-0.0035733061707301046,-0.0018316274561345875
pq_512_m32_b8,pq_adc_exhaustive,recalibrated_compressed,0.2,pq_512_m64_b8,121736,21992,21444,19481,97781,1963,2511,-0.004501544325425511,-0.00553698166524282,-0.0033925872379575476
pq_512_m32_b8,pq_adc_exhaustive,recalibrated_compressed,0.3,pq_512_m64_b8,121736,32905,32460,29832,86203,2628,3073,-0.003655451140172176,-0.004920483669580075,-0.0024146513767496903
pq_512_m16_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,pq_512_m32_b8,121736,1410,1264,1141,120203,123,269,-0.001199316553854242,-0.0015278964316225274,-0.0008787458106065596
pq_512_m16_b8,pq_adc_exhaustive,recalibrated_compressed,0.05,pq_512_m32_b8,121736,6010,5466,4987,115247,479,1023,-0.004468686337648683,-0.005101202602352632,-0.003852599066833147
pq_512_m16_b8,pq_adc_exhaustive,recalibrated_compressed,0.1,pq_512_m32_b8,121736,11085,10569,9524,109606,1045,1561,-0.004238680423210883,-0.005051915620687389,-0.003433659722678583
pq_512_m16_b8,pq_adc_exhaustive,recalibrated_compressed,0.2,pq_512_m32_b8,121736,21444,20870,19054,98476,1816,2390,-0.004715121245974897,-0.005758978445160018,-0.003663460274692779
pq_512_m16_b8,pq_adc_exhaustive,recalibrated_compressed,0.3,pq_512_m32_b8,121736,32460,31803,29467,86940,2336,2993,-0.005396924492344089,-0.006588231911677728,-0.004213420845107449
pq_512_m8_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,pq_512_m16_b8,121736,1264,1200,1046,120318,154,218,-0.0005257278044292567,-0.0008296641913649208,-0.0002217914174935927
pq_512_m8_b8,pq_adc_exhaustive,recalibrated_compressed,0.05,pq_512_m16_b8,121736,5466,5413,4712,115569,701,754,-0.00043536833804297826,-0.0010678846027469277,0.00021357692054938557
pq_512_m8_b8,pq_adc_exhaustive,recalibrated_compressed,0.1,pq_512_m16_b8,121736,10569,10463,9239,109943,1224,1330,-0.0008707366760859565,-0.0017168298613392916,-6.571597555365709e-05
pq_512_m8_b8,pq_adc_exhaustive,recalibrated_compressed,0.2,pq_512_m16_b8,121736,20870,20879,18851,98838,2028,2019,7.393047249786423e-05,-0.0009450778734310304,0.0011089570874679635
pq_512_m8_b8,pq_adc_exhaustive,recalibrated_compressed,0.3,pq_512_m16_b8,121736,31803,31701,29222,87454,2479,2581,-0.0008378786883091279,-0.0019803098508247344,0.00032878524019188955
