split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir,partition_seed
fit,all,71286,1.0,21385,0.2999887776000898,-0.5502985119819641,-0.32423651665449155,[],False,global_safe,0.3,2
safety,all,27539,1.0,7726,0.2805475870583536,-0.5502985119819641,-0.33403321146965076,[],False,global_safe,0.3,2
test,all,121736,1.0,33486,0.27507064467372017,-0.5502985119819641,-0.3246752083301546,[],False,global_safe,0.3,2
fit,low,35361,0.49604410403164717,10608,0.299991516077034,-0.5230000615119934,-0.31513505578041073,[0.54809153],False,fiqa_s,0.3,2
fit,high,35925,0.5039558959683529,10761,0.29954070981210856,-0.5859051520849182,-0.3403792107105251,[0.54809153],False,fiqa_s,0.3,2
safety,low,13724,0.49834779766876064,3770,0.2747012532789274,-0.5230000615119934,-0.3241225841641426,[0.54809153],False,fiqa_s,0.3,2
safety,high,13815,0.5016522023312393,3999,0.28946796959826276,-0.5859051520849182,-0.35081797599792475,[0.54809153],False,fiqa_s,0.3,2
test,low,59684,0.49027403561805877,16308,0.27323905904429996,-0.5230000615119934,-0.313490452170372,[0.54809153],False,fiqa_s,0.3,2
test,high,62052,0.5097259643819413,17214,0.27741249274801777,-0.5859051520849182,-0.3416660636663439,[0.54809153],False,fiqa_s,0.3,2
fit,low,35632,0.49984569200123447,10689,0.2999831612034127,-0.5237166881561279,-0.3342917883396147,[0.5601946],False,fiqa_l,0.3,2
fit,high,35654,0.5001543079987656,10674,0.299377348965053,-0.5951233789247458,-0.3148429581522941,[0.5601946],False,fiqa_l,0.3,2
safety,low,13721,0.49823886125131633,3906,0.2846731287807011,-0.5237166881561279,-0.34349157810211195,[0.5601946],False,fiqa_l,0.3,2
safety,high,13818,0.5017611387486837,3811,0.27579968157475754,-0.5951233789247458,-0.32269906908273704,[0.5601946],False,fiqa_l,0.3,2
test,low,58605,0.48141059341525927,16657,0.2842248954867332,-0.5237166881561279,-0.3363164067268372,[0.5601946],False,fiqa_l,0.3,2
test,high,63131,0.5185894065847407,17079,0.27053270184220113,-0.5951233789247458,-0.3141924589872361,[0.5601946],False,fiqa_l,0.3,2
fit,all,70419,1.0,704,0.0099973018645536,-0.32512399554252625,-0.32513582527637486,[],False,global_safe,0.01,3
safety,all,28406,1.0,247,0.008695346053650637,-0.32512399554252625,-0.33110304176807404,[],False,global_safe,0.01,3
test,all,121736,1.0,1227,0.010079187750542156,-0.32512399554252625,-0.3246752083301546,[],False,global_safe,0.01,3
fit,low,35229,0.5002769139010779,352,0.009991768145561896,-0.3161965012550354,-0.31643241167068453,[0.54815532],False,fiqa_s,0.01,3
fit,high,35190,0.4997230860989222,349,0.009917590224495596,-0.3409250281513259,-0.34105931013822555,[0.54815532],False,fiqa_s,0.01,3
safety,low,13872,0.4883475322115046,123,0.008866782006920416,-0.3161965012550354,-0.3200102713704119,[0.54815532],False,fiqa_s,0.01,3
safety,high,14534,0.5116524677884954,131,0.009013348011559104,-0.3409250281513259,-0.3462074625492096,[0.54815532],False,fiqa_s,0.01,3
test,low,59696,0.49037260958138923,644,0.010787992495309569,-0.3161965012550354,-0.31349110305309297,[0.54815532],False,fiqa_s,0.01,3
test,high,62040,0.5096273904186107,612,0.009864603481624759,-0.3409250281513259,-0.34165579974651333,[0.54815532],False,fiqa_s,0.01,3
fit,low,35200,0.49986509322768,333,0.009460227272727273,-0.33590030670166016,-0.3374859511852263,[0.56059127],False,fiqa_l,0.01,3
fit,high,35219,0.50013490677232,352,0.00999460518470144,-0.3147866129875183,-0.3148171836137772,[0.56059127],False,fiqa_l,0.01,3
safety,low,14249,0.5016193761881292,142,0.009965611621868202,-0.33590030670166016,-0.3366584146022796,[0.56059127],False,fiqa_l,0.01,3
safety,high,14157,0.4983806238118707,114,0.008052553507098962,-0.3147866129875183,-0.3237638342380524,[0.56059127],False,fiqa_l,0.01,3
test,low,58712,0.48228954458828943,583,0.009929826951900804,-0.33590030670166016,-0.33638168245553973,[0.56059127],False,fiqa_l,0.01,3
test,high,63024,0.5177104554117106,641,0.01017072861132267,-0.3147866129875183,-0.3141110071539882,[0.56059127],False,fiqa_l,0.01,3
fit,all,70419,1.0,3520,0.049986509322768005,-0.40133851766586304,-0.32513582527637486,[],False,global_safe,0.05,3
safety,all,28406,1.0,1235,0.04347673026825319,-0.40133851766586304,-0.33110304176807404,[],False,global_safe,0.05,3
test,all,121736,1.0,5363,0.044054347111782875,-0.40133851766586304,-0.3246752083301546,[],False,global_safe,0.05,3
fit,low,35229,0.5002769139010779,1761,0.049987226432768456,-0.3845820426940918,-0.31643241167068453,[0.54815532],False,fiqa_s,0.05,3
fit,high,35190,0.4997230860989222,1753,0.04981528843421427,-0.4252270564887442,-0.34105931013822555,[0.54815532],False,fiqa_s,0.05,3
safety,low,13872,0.4883475322115046,555,0.040008650519031144,-0.3845820426940918,-0.3200102713704119,[0.54815532],False,fiqa_s,0.05,3
safety,high,14534,0.5116524677884954,674,0.046374019540388056,-0.4252270564887442,-0.3462074625492096,[0.54815532],False,fiqa_s,0.05,3
test,low,59696,0.49037260958138923,2552,0.042749932993835435,-0.3845820426940918,-0.31349110305309297,[0.54815532],False,fiqa_s,0.05,3
test,high,62040,0.5096273904186107,2904,0.04680851063829787,-0.4252270564887442,-0.34165579974651333,[0.54815532],False,fiqa_s,0.05,3
fit,low,35200,0.49986509322768,1759,0.04997159090909091,-0.40193848657069237,-0.3374859511852263,[0.56059127],False,fiqa_l,0.05,3
fit,high,35219,0.50013490677232,1760,0.0499730259235072,-0.4006023108959198,-0.3148171836137772,[0.56059127],False,fiqa_l,0.05,3
safety,low,14249,0.5016193761881292,659,0.04624885956909257,-0.40193848657069237,-0.3366584146022796,[0.56059127],False,fiqa_l,0.05,3
safety,high,14157,0.4983806238118707,581,0.04103976831249558,-0.4006023108959198,-0.3237638342380524,[0.56059127],False,fiqa_l,0.05,3
test,low,58712,0.48228954458828943,2762,0.047043193895626105,-0.40193848657069237,-0.33638168245553973,[0.56059127],False,fiqa_l,0.05,3
test,high,63024,0.5177104554117106,2617,0.04152386392485402,-0.4006023108959198,-0.3141110071539882,[0.56059127],False,fiqa_l,0.05,3
fit,all,70419,1.0,7041,0.09998721935841179,-0.4480799734592438,-0.32513582527637486,[],False,global_safe,0.1,3
safety,all,28406,1.0,2569,0.09043863972400197,-0.4480799734592438,-0.33110304176807404,[],False,global_safe,0.1,3
test,all,121736,1.0,11003,0.09038410987711112,-0.4480799734592438,-0.3246752083301546,[],False,global_safe,0.1,3
fit,low,35229,0.5002769139010779,3522,0.09997445286553691,-0.4296574890613556,-0.31643241167068453,[0.54815532],False,fiqa_s,0.1,3
fit,high,35190,0.4997230860989222,3510,0.09974424552429667,-0.4744461434023567,-0.34105931013822555,[0.54815532],False,fiqa_s,0.1,3
safety,low,13872,0.4883475322115046,1242,0.08953287197231834,-0.4296574890613556,-0.3200102713704119,[0.54815532],False,fiqa_s,0.1,3
safety,high,14534,0.5116524677884954,1422,0.09783954864455759,-0.4744461434023567,-0.3462074625492096,[0.54815532],False,fiqa_s,0.1,3
test,low,59696,0.49037260958138923,5348,0.08958724202626642,-0.4296574890613556,-0.31349110305309297,[0.54815532],False,fiqa_s,0.1,3
test,high,62040,0.5096273904186107,5759,0.09282720825274017,-0.4744461434023567,-0.34165579974651333,[0.54815532],False,fiqa_s,0.1,3
fit,low,35200,0.49986509322768,3520,0.1,-0.4392671287059784,-0.3374859511852263,[0.56059127],False,fiqa_l,0.1,3
fit,high,35219,0.50013490677232,3517,0.0998608705528266,-0.46451972275000525,-0.3148171836137772,[0.56059127],False,fiqa_l,0.1,3
safety,low,14249,0.5016193761881292,1255,0.0880763562355253,-0.4392671287059784,-0.3366584146022796,[0.56059127],False,fiqa_l,0.1,3
safety,high,14157,0.4983806238118707,1346,0.09507664053118599,-0.46451972275000525,-0.3237638342380524,[0.56059127],False,fiqa_l,0.1,3
test,low,58712,0.48228954458828943,5496,0.09360948358086933,-0.4392671287059784,-0.33638168245553973,[0.56059127],False,fiqa_l,0.1,3
test,high,63024,0.5177104554117106,5464,0.08669713125158669,-0.46451972275000525,-0.3141110071539882,[0.56059127],False,fiqa_l,0.1,3
fit,all,70419,1.0,14083,0.19998863942969938,-0.5068305134773254,-0.32513582527637486,[],False,global_safe,0.2,3
safety,all,28406,1.0,5405,0.19027670210518904,-0.5068305134773254,-0.33110304176807404,[],False,global_safe,0.2,3
test,all,121736,1.0,22227,0.18258362357889202,-0.5068305134773254,-0.3246752083301546,[],False,global_safe,0.2,3
fit,low,35229,0.5002769139010779,7045,0.19997729143603282,-0.48415157198905945,-0.31643241167068453,[0.54815532],False,fiqa_s,0.2,3
fit,high,35190,0.4997230860989222,7028,0.19971582836032964,-0.5379363294037158,-0.34105931013822555,[0.54815532],False,fiqa_s,0.2,3
safety,low,13872,0.4883475322115046,2608,0.18800461361014995,-0.48415157198905945,-0.3200102713704119,[0.54815532],False,fiqa_s,0.2,3
safety,high,14534,0.5116524677884954,2884,0.19843126462088895,-0.5379363294037158,-0.3462074625492096,[0.54815532],False,fiqa_s,0.2,3
test,low,59696,0.49037260958138923,10842,0.18162020905923346,-0.48415157198905945,-0.31349110305309297,[0.54815532],False,fiqa_s,0.2,3
test,high,62040,0.5096273904186107,11452,0.1845905867182463,-0.5379363294037158,-0.34165579974651333,[0.54815532],False,fiqa_s,0.2,3
