dataset,model_uid,run_id,compression_family,compression_profile,search_mode,target_fpir,comparison_role,threshold_policy,threshold,realized_fpir,tpir20,tpir20_retention,closed_set_rank20_recall,target_met_on_test
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_direct_cosine,0.2,origin,origin_calibrated,0.720803201199,0.184210093974,0.0250070337454,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_direct_cosine,0.2,compressed_frozen_threshold,frozen_origin,0.720803201199,0.185770848393,0.00870529434156,0.348113831899,0.0780993992354,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_direct_cosine,0.2,compressed_recalibrated,recalibrated_compressed,0.71383535862,0.211589012289,0.00966519371762,0.38649900728,0.0780993992354,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_direct_cosine,0.3,origin,origin_calibrated,0.692337751389,0.278545376881,0.037601575559,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_direct_cosine,0.3,compressed_frozen_threshold,frozen_origin,0.692337751389,0.303673523033,0.0129751915661,0.345070422535,0.0780993992354,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_direct_cosine,0.3,compressed_recalibrated,recalibrated_compressed,0.691088020802,0.309752250772,0.0131241414693,0.349031690141,0.0780993992354,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.01,origin,origin_calibrated,0.821411192417,0.00838700138004,0.00206874865531,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.01,compressed_frozen_threshold,frozen_origin,0.821411192417,0.356402378918,0.0256524833259,12.4,0.114774175397,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.01,compressed_recalibrated,recalibrated_compressed,0.912963628769,0.0099970427811,0.000810949472883,0.392,0.114774175397,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.05,origin,origin_calibrated,0.781081259251,0.0454343825984,0.00729854525595,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.05,compressed_frozen_threshold,frozen_origin,0.781081259251,0.58317178156,0.0471178193734,6.45578231293,0.114774175397,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.05,compressed_recalibrated,recalibrated_compressed,0.888240933418,0.0501084313597,0.00355824768714,0.487528344671,0.114774175397,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.1,origin,origin_calibrated,0.755183577538,0.0930784648748,0.0133392913295,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.1,compressed_frozen_threshold,frozen_origin,0.755183577538,0.703390944339,0.0620790096486,4.65384615385,0.114774175397,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.1,compressed_recalibrated,recalibrated_compressed,0.872742593288,0.0976950121575,0.00668619565397,0.501240694789,0.114774175397,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.2,origin,origin_calibrated,0.720803201199,0.184210093974,0.0250070337454,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.2,compressed_frozen_threshold,frozen_origin,0.720803201199,0.820266806861,0.0783641990633,3.13368630046,0.114774175397,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.2,compressed_recalibrated,recalibrated_compressed,0.851227521896,0.191011697444,0.013173791437,0.52680344143,0.114774175397,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.3,origin,origin_calibrated,0.692337751389,0.278545376881,0.037601575559,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.3,compressed_frozen_threshold,frozen_origin,0.692337751389,0.888340343037,0.0895519917912,2.38160211268,0.114774175397,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_32,pca_reconstruction_cosine,0.3,compressed_recalibrated,recalibrated_compressed,0.833852529526,0.284377669712,0.0201744368866,0.536531690141,0.114774175397,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.01,origin,origin_calibrated,0.821411192417,0.00838700138004,0.00206874865531,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.01,compressed_frozen_threshold,frozen_origin,0.821411192417,5.75014786094e-05,0,0,0.121576220975,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.01,compressed_recalibrated,recalibrated_compressed,0.647671580315,0.0134142735099,0.00306174800986,1.48,0.121576220975,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.05,origin,origin_calibrated,0.781081259251,0.0454343825984,0.00729854525595,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.05,compressed_frozen_threshold,frozen_origin,0.781081259251,0.000213576920549,1.65499892425e-05,0.00226757369615,0.121576220975,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.05,compressed_recalibrated,recalibrated_compressed,0.585778534412,0.0580436354078,0.00916869404035,1.25623582766,0.121576220975,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.1,origin,origin_calibrated,0.755183577538,0.0930784648748,0.0133392913295,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.1,compressed_frozen_threshold,frozen_origin,0.755183577538,0.000451797331931,4.96499677275e-05,0.00372208436725,0.121576220975,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.1,compressed_recalibrated,recalibrated_compressed,0.551196336746,0.109195307879,0.0138688909852,1.03970223325,0.121576220975,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.2,origin,origin_calibrated,0.720803201199,0.184210093974,0.0250070337454,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.2,compressed_frozen_threshold,frozen_origin,0.720803201199,0.00138824998357,0.000347549774093,0.0138980807412,0.121576220975,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.2,compressed_recalibrated,recalibrated_compressed,0.508559048176,0.207103896957,0.0232196349072,0.928524156188,0.121576220975,False
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.3,origin,origin_calibrated,0.692337751389,0.278545376881,0.037601575559,1,0.177779984443,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.3,compressed_frozen_threshold,frozen_origin,0.692337751389,0.0036225931524,0.000976449365308,0.0259683098592,0.121576220975,True
survface,adaface-4df25b75e065b0b9ed43,20260811-R001-cb329ad5,pca,pca_384,pca_direct_cosine,0.3,compressed_recalibrated,recalibrated_compressed,0.477792799473,0.304158178353,0.0319580292273,0.849911971831,0.121576220975,False
