dataset,model_uid,run_id,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible,compression_family,compression_profile,search_mode,threshold_policy,compressed_score_space,compressed_dir_rank1,compressed_fpir,storage_bytes_per_embedding,codebook_bytes,gallery_template_count,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.00743094516989,0.107913846356,1024,0,3000,3072000,1024,0.191098092326,5232.91461379,0,0,2745,0.0150692526858
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.00665309567549,0.0931113228626,1536,0,3000,4608000,1536,0.190867495979,5239.2367536,0,0,7,3.84279667763e-05
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00375684755805,0.0976950121575,128,0,3000,384000,128,0.193027330519,5180.61352924,5618,0.0308411881927,6157,0.0338001416345
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00554424639624,0.0962656896892,256,0,3000,768000,256,0.195362744086,5118.68322017,2858,0.0156895898638,3292,0.0180721238039
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00622279595518,0.0953867385161,512,0,3000,1536000,512,0.192109578994,5205.3625084,1211,0.0066480382523,1553,0.00852551891479
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00648759578306,0.0935466912006,1024,0,3000,3072000,1024,0.191098092326,5232.91461379,291,0.00159750547599,350,0.00192139833881
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00665309567549,0.0930620358809,1536,0,3000,4608000,1536,0.190867495979,5239.2367536,2,1.09794190789e-05,0,0
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m8_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.00148949903183,0.0860139975028,8,524288,3000,548288,182.762666667,0.00644626727203,155128.53529,4674,0.0256589023875,3209,0.0176164779122
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m16_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.00228389851547,0.0887987119669,16,524288,3000,572288,190.762666667,0.0115291832959,86736.4126611,3943,0.0216459247141,2939,0.0161342563365
survface,adaface-4df25b75e065b0b9ed43,20260804-R001-f60c9930,step4_search_space_refresh,validation_required,True,pq,pq_512_m32_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.00375684755805,0.091131629099,32,524288,3000,620288,206.762666667,0.0233132483161,42894.0654877,3088,0.0169522230579,2551,0.0140042490352
