compression_profile,search_mode,threshold_policy,target_fpir,protocol_uid,model_uid,gallery_template_count,top_k,origin_score_space,compressed_score_space,origin_threshold,origin_fpir,origin_fpir_ci_low,origin_fpir_ci_high,origin_tpir20_count,origin_tpir20,origin_rank20,compressed_threshold,compressed_fpir,compressed_fpir_ci_low,compressed_fpir_ci_high,compressed_tpir20_count,compressed_tpir20,compressed_rank20,n,reference_fa,candidate_fa,both_fa,neither_fa,new_fa,lost_fa,delta_fpir,delta_ci_low,delta_ci_high,mated_count,target_met_on_test,new_fa_same_winner,new_fa_changed_winner,score_effect_at_origin_threshold,threshold_effect_after_score_change
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.01,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.8176113367080688,0.0102434776894263,0.009693107388791034,0.010824756187247923,146,0.002416298429406021,0.1777799844430101,0.8176113367080688,0.005988368272327003,0.005570283570571734,0.006437629708296563,49,0.0008109494728828426,0.1341873127782467,121736,1247,729,438,120198,291,809,-0.004255109417099297,-0.004772828087007951,-0.00372938161267004,60423,True,149,142,-0.004255109417099297,0.0
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.8176113367080688,0.0102434776894263,0.009693107388791034,0.010824756187247923,146,0.002416298429406021,0.1777799844430101,0.8095541000366211,0.010227048695537885,0.009677127802207808,0.010807878822876822,77,0.0012743491716730383,0.1341873127782467,121736,1247,1245,625,119869,620,622,-1.6428993888414273e-05,-0.0005832292830387067,0.0005503712952618781,60423,False,278,342,-0.004255109417099297,0.004238680423210882
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.05,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7799594402313232,0.04711013997502793,0.04593417146768124,0.0483146900498672,453,0.007497145126855668,0.1777799844430101,0.7799594402313232,0.04272359860682132,0.04160192052248146,0.04387413509026171,262,0.004336097181536832,0.1341873127782467,121736,5735,5201,3563,114363,1638,2172,-0.004386541368206611,-0.005356057370046658,-0.003367738384701322,60423,True,629,1009,-0.004386541368206612,0.0
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7799594402313232,0.04711013997502793,0.04593417146768124,0.0483146900498672,453,0.007497145126855668,0.1777799844430101,0.7782663106918335,0.04563153052507064,0.04447352477697577,0.04681821115468326,277,0.004584347020174437,0.1341873127782467,121736,5735,5555,3713,114159,1842,2022,-0.0014786094499572846,-0.0024645544456857456,-0.00048465531970822107,60423,True,711,1131,-0.004386541368206612,0.0029079319182493263
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.1,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7557207345962524,0.09171485838207268,0.09010639311666495,0.09334909024188094,794,0.013140691458550551,0.1777799844430101,0.7557207345962524,0.09341525924952356,0.09179331303945054,0.09506286474286818,549,0.00908594409413634,0.1341873127782467,121736,11165,11372,8198,107397,3174,2967,0.0017004008674508773,0.000468020963396202,0.003039569231780245,60423,True,1075,2099,0.0017004008674508797,0.0
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7557207345962524,0.09171485838207268,0.09010639311666495,0.09334909024188094,794,0.013140691458550551,0.1777799844430101,0.7575446367263794,0.08875763948215812,0.08717302410397676,0.09036820808279031,521,0.008622544395346142,0.1341873127782467,121736,11165,10805,7943,107709,2862,3222,-0.0029572188999145693,-0.004222251429322468,-0.0016511138857856346,60423,True,983,1879,0.0017004008674508797,-0.004657619767365437
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.2,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7210968732833862,0.18329007031609384,0.18112666378656414,0.18547346419139973,1502,0.024858083842245502,0.1777799844430101,0.7210968732833862,0.20679996057041466,0.20453410498427554,0.20908431980933007,1158,0.019164887542823097,0.1341873127782467,121736,22313,25175,18910,93158,6265,3403,0.023509890254320827,0.021875205362423607,0.025128146152329632,60423,False,1795,4470,0.02350989025432082,0.0
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7210968732833862,0.18329007031609384,0.18112666378656414,0.18547346419139973,1502,0.024858083842245502,0.1777799844430101,0.7291804552078247,0.17689097719655647,0.17475769908721245,0.17904464649404106,980,0.016218989457656853,0.1341873127782467,121736,22313,21534,17389,95278,4145,4924,-0.00639909311953736,-0.00791877505421568,-0.0048217043438259855,60423,True,1229,2916,0.02350989025432082,-0.029908983373858194
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.3,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.6924573183059692,0.27820036800946313,0.27569015025005017,0.28072458339106,2269,0.03755192559124836,0.1777799844430101,0.6924573183059692,0.32756128014720376,0.3249303579157808,0.33020308486760436,1893,0.03132912963606574,0.1341873127782467,121736,33867,39876,30697,78690,9179,3170,0.04936091213774069,0.04758637543536834,0.0512256029440757,60423,False,2382,6797,0.04936091213774063,0.0
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.6924573183059692,0.27820036800946313,0.27569015025005017,0.28072458339106,2269,0.03755192559124836,0.1777799844430101,0.7053808569908142,0.27059374383912727,0.2681053700737819,0.2730965952754748,1530,0.025321483541035698,0.1341873127782467,121736,33867,32941,27862,82790,5079,6005,-0.007606624170335809,-0.009307025037786685,-0.005864534730893083,60423,True,1342,3737,0.04936091213774063,-0.056967536308076494
