method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met,partition_seed
global_empirical,0.1,conditional-threshold-eeed8de44fc8a54ae123e23f,all,98825,0,-0.31927984952926636,1.0,-0.31927984952926636,,-0.31927984952926636,False,0.0999949405514799,,True,,0
global_safe,0.1,conditional-threshold-6d3729216e6dde0c085b4bf1,all,67064,31761,-0.3192754089832306,1.0,-0.3192754089832306,-0.31934404373168945,-0.3192754089832306,False,0.09999403554813313,0.09996536632977551,True,True,0
fiqa_s,0.1,conditional-threshold-a87929c78749754759e8cf3f,low,33340,15435,-0.3033779561519623,0.9940369707811568,-0.3033779561519623,-0.29921624064445496,-0.29921624064445496,False,0.09583083383323335,0.09996760609005508,True,True,0
fiqa_s,0.1,conditional-threshold-a87929c78749754759e8cf3f,high,33724,16326,-0.3400994539260864,0.99410446881264,-0.3399766851196788,-0.34657785296440125,-0.3399766851196788,False,0.0998695291187285,0.09402180570868553,True,True,0
fiqa_l,0.1,conditional-threshold-0fde25b85be28b99e49514d1,low,33776,15462,-0.2959934175014496,0.9941134918766188,-0.2959934175014496,-0.2907121777534485,-0.2907121777534485,False,0.09444576030317385,0.09998706506273444,True,True,0
fiqa_l,0.1,conditional-threshold-0fde25b85be28b99e49514d1,high,33288,16299,-0.3557675778865814,0.9940277114190158,-0.3555496361229446,-0.3686266243457794,-0.3555496361229446,False,0.09973564047104061,0.09190747898644089,True,True,0
global_empirical,0.2,conditional-threshold-fa970906d537942c985532bd,all,98825,0,-0.40838387608528137,1.0,-0.40838387608528137,,-0.40838387608528137,False,0.2,,True,,0
global_safe,0.2,conditional-threshold-6a1a7484accf9116393431fe,all,67064,31761,-0.40792810916900635,1.0,-0.40792810916900635,-0.40942463278770447,-0.40792810916900635,False,0.19998807109626626,0.19826201945782562,True,True,0
fiqa_s,0.2,conditional-threshold-f915d5f19d579cb629cd2166,low,33340,15435,-0.38249075412750244,0.9940369707811568,-0.38249075412750244,-0.3802553713321686,-0.3802553713321686,False,0.19721055788842232,0.2,True,True,0
fiqa_s,0.2,conditional-threshold-f915d5f19d579cb629cd2166,high,33724,16326,-0.4423549473285675,0.99410446881264,-0.4421519828305156,-0.44812944531440735,-0.4421519828305156,False,0.19965010081840825,0.19343378659806443,True,True,0
fiqa_l,0.2,conditional-threshold-24e512d7d8e0b0fd69cab8de,low,33776,15462,-0.37175288796424866,0.9941134918766188,-0.37175288796424866,-0.3658432066440582,-0.3658432066440582,False,0.1908455708195168,0.19997413012546889,True,True,0
fiqa_l,0.2,conditional-threshold-24e512d7d8e0b0fd69cab8de,high,33288,16299,-0.4686315953731537,0.9940277114190158,-0.4682690566356707,-0.4814777076244354,-0.4682690566356707,False,0.19935111751982695,0.18541014786183202,True,True,0
global_empirical,0.3,conditional-threshold-16f9773d9a35a39b5f1bdab6,all,98825,0,-0.4788987934589386,1.0,-0.4788987934589386,,-0.4788987934589386,False,0.2999949405514799,,True,,0
