reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment,partition_seed
global_safe,fiqa_s_5bin,0.1,fpir,11293,11101,9462,121736,-0.0015771834132877703,-0.0025464940527042124,-0.0006240964053361383,query,2000,8972,False,none,0
global_safe,fiqa_s_5bin,0.1,tpir_at_rank_k,671,663,553,60423,-0.00013239991394005594,-0.0008421535321249314,0.0005396455410871919,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l_5bin,0.1,fpir,11299,11107,8398,121736,-0.0015771834132877703,-0.002809357954918841,-0.00031174015903266304,query,2000,8972,False,none,0
global_empirical,fiqa_l_5bin,0.1,tpir_at_rank_k,671,687,470,60423,0.0002647998278801119,-0.0013877268878388048,0.0018523163368308626,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l_5bin,0.1,fpir,11293,11107,8397,121736,-0.0015278964316225274,-0.0027602763356772025,-0.00028730203062364573,query,2000,8972,False,none,0
global_safe,fiqa_l_5bin,0.1,tpir_at_rank_k,671,687,470,60423,0.0002647998278801119,-0.0013877268878388048,0.0018523163368308626,mated_identity_cluster,2000,8972,False,none,0
fiqa_s_2bin,fiqa_l_2bin,0.1,fpir,11117,10654,9433,121736,-0.0038033120851679045,-0.0047153266083985014,-0.0029572188999145693,query,2000,8972,False,none,0
fiqa_s_2bin,fiqa_l_2bin,0.1,tpir_at_rank_k,661,636,551,60423,-0.0004137497310626748,-0.0011120315659402962,0.00019799494577670392,mated_identity_cluster,2000,8972,False,none,0
fiqa_s_5bin,fiqa_l_5bin,0.1,fpir,11101,11107,8020,121736,4.928698166524282e-05,-0.0011748784254452254,0.0013882499835710061,query,2000,8972,False,none,0
fiqa_s_5bin,fiqa_l_5bin,0.1,tpir_at_rank_k,663,687,469,60423,0.00039719974182016784,-0.0010440027042455291,0.00180716526176079,mated_identity_cluster,2000,8972,False,none,0
fiqa_s_2bin,fiqa_s_5bin,0.1,fpir,11117,11101,9760,121736,-0.00013143195110731419,-0.0009939541302490635,0.0006982322402576066,query,2000,8972,False,none,0
fiqa_s_2bin,fiqa_s_5bin,0.1,tpir_at_rank_k,661,663,572,60423,3.3099978485013984e-05,-0.0005280404178331938,0.0005729377701659048,mated_identity_cluster,2000,8972,False,none,0
fiqa_l_2bin,fiqa_l_5bin,0.1,fpir,10654,11107,7982,121736,0.003721167115725833,0.0024887872116711577,0.00501905763291056,query,2000,8972,False,none,0
fiqa_l_2bin,fiqa_l_5bin,0.1,tpir_at_rank_k,636,687,459,60423,0.0008440494513678566,-0.0006460758047790509,0.0022941254638423653,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s_2bin,0.2,fpir,22571,22416,19493,121736,-0.0012732470263521062,-0.0024807780771505554,8.214496944207137e-06,query,2000,8972,False,none,0
global_empirical,fiqa_s_2bin,0.2,tpir_at_rank_k,1289,1286,1125,60423,-4.964996772752098e-05,-0.0007575067604264643,0.0006650816896349111,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s_2bin,0.2,fpir,22494,22416,19453,121736,-0.0006407307616481567,-0.001864896168758625,0.0006411414864953648,query,2000,8972,False,none,0
global_safe,fiqa_s_2bin,0.2,tpir_at_rank_k,1284,1286,1123,60423,3.3099978485013984e-05,-0.0006861645181300979,0.0007397176976368881,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l_2bin,0.2,fpir,22571,21904,19075,121736,-0.00547906946178616,-0.0067114493658408355,-0.0041889827166984315,query,2000,8972,False,none,0
global_empirical,fiqa_l_2bin,0.2,tpir_at_rank_k,1289,1316,1129,60423,0.0004468497095476888,-0.00033759802651604965,0.0013654263735990524,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l_2bin,0.2,fpir,22494,21904,19051,121736,-0.004846553197082211,-0.0060951567326016955,-0.003540448182953276,query,2000,8972,False,none,0
global_safe,fiqa_l_2bin,0.2,tpir_at_rank_k,1284,1316,1127,60423,0.0005295996557602237,-0.00025693768633374927,0.001453961303586507,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s_5bin,0.2,fpir,22571,22223,19070,121736,-0.0028586449365840838,-0.004132302687783399,-0.0015192712098311123,query,2000,8972,False,none,0
global_empirical,fiqa_s_5bin,0.2,tpir_at_rank_k,1289,1277,1103,60423,-0.00019859987091008392,-0.0011897747105610267,0.0008464143862919942,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s_5bin,0.2,fpir,22494,22223,19042,121736,-0.002226128671880134,-0.003491161201288033,-0.0009198182953275953,query,2000,8972,False,none,0
global_safe,fiqa_s_5bin,0.2,tpir_at_rank_k,1284,1277,1102,60423,-0.00011584992469754894,-0.0010998986674667355,0.0009102302681603909,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l_5bin,0.2,fpir,22571,22168,17506,121736,-0.003310442268515476,-0.004838544062561608,-0.001699784780180065,query,2000,8972,False,none,0
global_empirical,fiqa_l_5bin,0.2,tpir_at_rank_k,1289,1348,995,60423,0.0009764493653079125,-0.0009431932611857425,0.002933371874306601,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l_5bin,0.2,fpir,22494,22168,17500,121736,-0.002677926003811527,-0.004255520141946506,-0.0011171715844121707,query,2000,8972,False,none,0
global_safe,fiqa_l_5bin,0.2,tpir_at_rank_k,1284,1348,995,60423,0.0010591993115204475,-0.0008685157072112945,0.0030071412599841827,mated_identity_cluster,2000,8972,False,none,0
fiqa_s_2bin,fiqa_l_2bin,0.2,fpir,22416,21904,19230,121736,-0.004205822435434054,-0.005413558848656108,-0.002891297561937308,query,2000,8972,False,none,0
fiqa_s_2bin,fiqa_l_2bin,0.2,tpir_at_rank_k,1286,1316,1144,60423,0.0004964996772752097,-0.00046363216048117605,0.0015240301281455127,mated_identity_cluster,2000,8972,False,none,0
fiqa_s_5bin,fiqa_l_5bin,0.2,fpir,22223,22168,16863,121736,-0.0004517973319313925,-0.0021439837024380625,0.0012075310507984492,query,2000,8972,False,none,0
