method,target_fpir,quality_group,split_count,threshold_min,threshold_q25,threshold_median,threshold_q75,threshold_max,fit_non_mated_count_min,fit_non_mated_count_q25,fit_non_mated_count_median,fit_non_mated_count_q75,fit_non_mated_count_max,safety_non_mated_count_min,safety_non_mated_count_q25,safety_non_mated_count_median,safety_non_mated_count_q75,safety_non_mated_count_max,global_fallback_split_count
fiqa_s_5bin,0.05,q3,20,-0.3967997431755066,-0.39625924825668335,-0.395536869764328,-0.39425598084926605,-0.38397297263145447,13110.0,13776.0,13940.0,14290.0,14684.0,5025.0,5576.75,5882.0,6119.75,6684.0,0
fiqa_s_5bin,0.05,q4,20,-0.41240059655422523,-0.4098184034228325,-0.40885982671616516,-0.4058121591806412,-0.39756014943122864,13203.0,13780.5,14043.5,14295.0,14762.0,5130.0,5598.25,5926.0,6133.0,6861.0,0
fiqa_s_5bin,0.05,q5,20,-0.47329947352409363,-0.47083041074790843,-0.4695280310064919,-0.4675779336593985,-0.4600495994091034,13323.0,13891.25,14165.5,14376.5,14767.0,5134.0,5547.5,5719.0,6087.5,6755.0,0
fiqa_s_5bin,0.1,q1,20,-0.42810720205307007,-0.4270070046186447,-0.4257737249135971,-0.4227067604660988,-0.4082201421260834,12693.0,13393.5,13511.0,13868.25,14509.0,4947.0,5473.25,5718.5,5979.0,6935.0,0
fiqa_s_5bin,0.1,q2,20,-0.43110570311546326,-0.4303576275706291,-0.42889051139354706,-0.4263763502240181,-0.4166937470436096,13044.0,13750.0,13942.5,14290.75,14732.0,5142.0,5484.0,5819.5,6200.5,6771.0,0
fiqa_s_5bin,0.1,q3,20,-0.44164377450942993,-0.4400654509663582,-0.43931570649147034,-0.43715700507164,-0.4310605823993683,13110.0,13776.0,13940.0,14290.0,14684.0,5025.0,5576.75,5882.0,6119.75,6684.0,0
fiqa_s_5bin,0.1,q4,20,-0.4578624367713928,-0.4568045749649359,-0.4553839830845483,-0.4541085436940193,-0.45117253065109253,13203.0,13780.5,14043.5,14295.0,14762.0,5130.0,5598.25,5926.0,6133.0,6861.0,0
fiqa_s_5bin,0.1,q5,20,-0.5322678173827883,-0.5291866892603562,-0.5274827985014072,-0.5263747162130664,-0.5208523869514465,13323.0,13891.25,14165.5,14376.5,14767.0,5134.0,5547.5,5719.0,6087.5,6755.0,0
fiqa_s_5bin,0.2,q1,20,-0.4819217026233673,-0.48045825213193893,-0.47914649546146393,-0.476780042052269,-0.46737003326416016,12693.0,13393.5,13511.0,13868.25,14509.0,4947.0,5473.25,5718.5,5979.0,6935.0,0
fiqa_s_5bin,0.2,q2,20,-0.4862602651119232,-0.4853338822722435,-0.48349371552467346,-0.48222629725933075,-0.4719799757003784,13044.0,13750.0,13942.5,14290.75,14732.0,5142.0,5484.0,5819.5,6200.5,6771.0,0
fiqa_s_5bin,0.2,q3,20,-0.4962577521800995,-0.49506210535764694,-0.49453049898147583,-0.4925621524453163,-0.48747771978378296,13110.0,13776.0,13940.0,14290.0,14684.0,5025.0,5576.75,5882.0,6119.75,6684.0,0
fiqa_s_5bin,0.2,q4,20,-0.5158938340502038,-0.5147746916608521,-0.5134930856860971,-0.5117853879928589,-0.5068845152854919,13203.0,13780.5,14043.5,14295.0,14762.0,5130.0,5598.25,5926.0,6133.0,6861.0,0
fiqa_s_5bin,0.2,q5,20,-0.6004417739167889,-0.5980859806909188,-0.5972866008693846,-0.595048651099205,-0.5879645347595215,13323.0,13891.25,14165.5,14376.5,14767.0,5134.0,5547.5,5719.0,6087.5,6755.0,0
fiqa_s_5bin,0.3,q1,20,-0.5204527378082275,-0.5194592475891113,-0.5181949138641357,-0.5164268165826797,-0.5077470541000366,12693.0,13393.5,13511.0,13868.25,14509.0,4947.0,5473.25,5718.5,5979.0,6935.0,0
fiqa_s_5bin,0.3,q2,20,-0.5276721119880676,-0.5270265638828278,-0.5247161984443665,-0.5232121050357819,-0.5170654058456421,13044.0,13750.0,13942.5,14290.75,14732.0,5142.0,5484.0,5819.5,6200.5,6771.0,0
fiqa_s_5bin,0.3,q3,20,-0.5382918119430542,-0.5366830676794052,-0.5360872447490692,-0.5340112000703812,-0.5296643376350403,13110.0,13776.0,13940.0,14290.0,14684.0,5025.0,5576.75,5882.0,6119.75,6684.0,0
fiqa_s_5bin,0.3,q4,20,-0.5598249435424805,-0.5588971490777302,-0.5580573921645925,-0.5556973814964294,-0.5515092611312866,13203.0,13780.5,14043.5,14295.0,14762.0,5130.0,5598.25,5926.0,6133.0,6861.0,0
fiqa_s_5bin,0.3,q5,20,-0.6556294044945162,-0.6531667554510185,-0.6512925966396175,-0.6495591998100281,-0.6399751901626587,13323.0,13891.25,14165.5,14376.5,14767.0,5134.0,5547.5,5719.0,6087.5,6755.0,0
global_empirical,0.01,all,20,-0.32640764117240906,-0.32640764117240906,-0.32640764117240906,-0.32640764117240906,-0.32640764117240906,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_empirical,0.05,all,20,-0.40384113788604736,-0.40384113788604736,-0.40384113788604736,-0.40384113788604736,-0.40384113788604736,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_empirical,0.1,all,20,-0.4501001834869385,-0.4501001834869385,-0.4501001834869385,-0.4501001834869385,-0.4501001834869385,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_empirical,0.2,all,20,-0.5081881284713745,-0.5081881284713745,-0.5081881284713745,-0.5081881284713745,-0.5081881284713745,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_empirical,0.3,all,20,-0.552515983581543,-0.552515983581543,-0.552515983581543,-0.552515983581543,-0.552515983581543,98825.0,98825.0,98825.0,98825.0,98825.0,0.0,0.0,0.0,0.0,0.0,0
global_safe,0.01,all,20,-0.32619237899780273,-0.3252858594059944,-0.3240576833486557,-0.3215561732649803,-0.3154825270175934,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
global_safe,0.05,all,20,-0.40351447463035583,-0.4029841274023056,-0.40123528242111206,-0.3988835737109184,-0.3899024724960327,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
global_safe,0.1,all,20,-0.4500289261341095,-0.4489388167858124,-0.4479946494102478,-0.44563623517751694,-0.4373942017555237,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
global_safe,0.2,all,20,-0.5080992579460144,-0.50710628926754,-0.5060617625713348,-0.5037217736244202,-0.4983300566673279,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
global_safe,0.3,all,20,-0.5523946285247803,-0.5514050871133804,-0.5506909489631653,-0.547689288854599,-0.5427845120429993,65408.0,68748.75,69666.0,71181.0,73447.0,25378.0,27644.0,29159.0,30076.25,33417.0,0
