method,target_fpir,quality_group,split_count,threshold_min,threshold_q25,threshold_median,threshold_q75,threshold_max,fit_non_mated_count_min,fit_non_mated_count_q25,fit_non_mated_count_median,fit_non_mated_count_q75,fit_non_mated_count_max,safety_non_mated_count_min,safety_non_mated_count_q25,safety_non_mated_count_median,safety_non_mated_count_q75,safety_non_mated_count_max,global_fallback_split_count
fiqa_s_2bin,0.3,low,20,-0.6027360558509827,-0.6018632352352142,-0.6003207564353943,-0.5973077565431595,-0.587148129940033,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s_5bin,0.01,q1,20,-0.37711063027381897,-0.3767736852169037,-0.375379279255867,-0.37512699514627457,-0.36478158831596375,12693.0,13393.5,13511.0,13868.25,14509.0,4947.0,5473.25,5718.5,5979.0,6935.0,0
fiqa_s_5bin,0.01,q2,20,-0.38368654251098633,-0.3827322646975517,-0.3820507675409317,-0.3796154484152794,-0.3688468337059021,13044.0,13750.0,13942.5,14290.75,14732.0,5142.0,5484.0,5819.5,6200.5,6771.0,0
fiqa_s_5bin,0.01,q3,20,-0.3934665024280548,-0.39172699737962097,-0.3896336555480957,-0.38924017548561096,-0.38611435890197754,13110.0,13776.0,13940.0,14290.0,14684.0,5025.0,5576.75,5882.0,6119.75,6684.0,0
fiqa_s_5bin,0.01,q4,20,-0.4004257309153784,-0.39919582886444116,-0.3982531331340611,-0.3963282483361535,-0.3922439515590668,13203.0,13780.5,14043.5,14295.0,14762.0,5130.0,5598.25,5926.0,6133.0,6861.0,0
fiqa_s_5bin,0.01,q5,20,-0.4449736773967743,-0.44303860685106045,-0.441595825268003,-0.4389846473932266,-0.43816444277763367,13323.0,13891.25,14165.5,14376.5,14767.0,5134.0,5547.5,5719.0,6087.5,6755.0,0
fiqa_s_5bin,0.05,q1,20,-0.4480836093425751,-0.4471152201294899,-0.44544845819473267,-0.444622665643692,-0.432303786277771,12693.0,13393.5,13511.0,13868.25,14509.0,4947.0,5473.25,5718.5,5979.0,6935.0,0
fiqa_s_5bin,0.05,q2,20,-0.45041051506996155,-0.44932758808135986,-0.448230043053627,-0.4464244022965431,-0.4348714053630829,13044.0,13750.0,13942.5,14290.75,14732.0,5142.0,5484.0,5819.5,6200.5,6771.0,0
fiqa_s_5bin,0.05,q3,20,-0.4644230306148529,-0.46363870799541473,-0.46305051445961,-0.4617505148053169,-0.45059439539909363,13110.0,13776.0,13940.0,14290.0,14684.0,5025.0,5576.75,5882.0,6119.75,6684.0,0
fiqa_s_5bin,0.05,q4,20,-0.47657473219262203,-0.47441181242604635,-0.4730063846373291,-0.4703507973986157,-0.4663214087486267,13203.0,13780.5,14043.5,14295.0,14762.0,5130.0,5598.25,5926.0,6133.0,6861.0,0
fiqa_s_5bin,0.05,q5,20,-0.5362123274390288,-0.5339110195636749,-0.5326438295963274,-0.5309019982554454,-0.5202023983001709,13323.0,13891.25,14165.5,14376.5,14767.0,5134.0,5547.5,5719.0,6087.5,6755.0,0
fiqa_s_5bin,0.1,q1,20,-0.4901658892631531,-0.48908308148384094,-0.4875171035528183,-0.48685258626937866,-0.4765804708003998,12693.0,13393.5,13511.0,13868.25,14509.0,4947.0,5473.25,5718.5,5979.0,6935.0,0
fiqa_s_5bin,0.1,q2,20,-0.4936279356479645,-0.4923313930630684,-0.4907301068305969,-0.4896872788667679,-0.4767613410949707,13044.0,13750.0,13942.5,14290.75,14732.0,5142.0,5484.0,5819.5,6200.5,6771.0,0
fiqa_s_5bin,0.1,q3,20,-0.5107519030570984,-0.5102799385786057,-0.5089166760444641,-0.5073467940092087,-0.49851152300834656,13110.0,13776.0,13940.0,14290.0,14684.0,5025.0,5576.75,5882.0,6119.75,6684.0,0
fiqa_s_5bin,0.1,q4,20,-0.5256458660261245,-0.5244701898045536,-0.5233860782772183,-0.5213647098840696,-0.5143129825592041,13203.0,13780.5,14043.5,14295.0,14762.0,5130.0,5598.25,5926.0,6133.0,6861.0,0
fiqa_s_5bin,0.1,q5,20,-0.6033009650730617,-0.6007013767957687,-0.599081352716539,-0.5965590175006351,-0.5836668610572815,13323.0,13891.25,14165.5,14376.5,14767.0,5134.0,5547.5,5719.0,6087.5,6755.0,0
fiqa_s_5bin,0.2,q1,20,-0.547551691532135,-0.545947253704071,-0.5449915528297424,-0.5427903532981873,-0.5322842597961426,12693.0,13393.5,13511.0,13868.25,14509.0,4947.0,5473.25,5718.5,5979.0,6935.0,0
fiqa_s_5bin,0.2,q2,20,-0.5538457036018372,-0.5531364381313324,-0.5509001910686493,-0.5490788072347641,-0.5383678078651428,13044.0,13750.0,13942.5,14290.75,14732.0,5142.0,5484.0,5819.5,6200.5,6771.0,0
fiqa_s_5bin,0.2,q3,20,-0.5724170804023743,-0.571533814072609,-0.5694873332977295,-0.5678726136684418,-0.5590119957923889,13110.0,13776.0,13940.0,14290.0,14684.0,5025.0,5576.75,5882.0,6119.75,6684.0,0
fiqa_s_5bin,0.2,q4,20,-0.5956129340938255,-0.5938467141916746,-0.5928493987329347,-0.5906000342872574,-0.5814396739006042,13203.0,13780.5,14043.5,14295.0,14762.0,5130.0,5598.25,5926.0,6133.0,6861.0,0
