sample_id,identity_id,protocol_role,aligned_face_index,prepared_row_index,raw_embedding_norm,heatmap_available,heatmap_index,gradcam_target_score,gradcam_valid_heatmap,raw_norm_bin,target_score_bin,faithfulness_stratum,selection_hash,faithfulness_selection_index,faithfulness_occlusion_fraction,high_saliency_occlusion_score_drop,low_saliency_occlusion_score_drop,random_occlusion_score_drop,random_occlusion_score_drop_std,faithfulness_gain_over_low_saliency,faithfulness_gain_over_random
survface:registered_probe:8562_cam1_95,survface:registered:4531,registered_probe,313549,313549,23.0317287445,True,32367,0.631719350815,True,q4,q2,registered_probe|norm=q4|score=q2,001873c7522bfb23bb8eb131e9a9086076437272ac4ebad58560273f918a7468,45,0.1,0.0327355265617,0.166581660509,0.168392509222,0.0530486444522,-0.133846133947,-0.13565698266
survface:registered_probe:10041_cam2_63,survface:registered:0019,registered_probe,281726,281726,23.4423065186,True,544,0.696313023567,True,q4,q3,registered_probe|norm=q4|score=q3,0025a5221e8a398d7542cebfc2d803adc201e315b83285058f13ef3609aff264,46,0.1,0.149779140949,0.272520780563,0.316186159849,0.0196553055975,-0.122741639614,-0.1664070189
survface:registered_probe:5826_cam1_36,survface:registered:3018,registered_probe,304354,304354,24.1418933868,True,23172,0.755308747292,True,q4,q4,registered_probe|norm=q4|score=q4,0026b92182af808823ce369a76f0a8cb9eaf4b382d1adb9686d5cccc057eb961,47,0.1,0.148301959038,0.193417906761,0.279901534319,0.032074621322,-0.0451159477234,-0.131599575281
survface:unknown_unknown_probe:10231_cam1_15,survface:unmated:10231_cam1_15,unknown_unknown_probe,347635,347635,19.0546855927,True,66453,0.619318366051,True,q1,q1,unknown_unknown_probe|norm=q1|score=q1,003f3dc7b6b17f973e69cfe14f433e76138a5d73710f1aee910886aa5124e113,48,0.1,0.0518897771835,0.180506408215,0.382264882326,0.0375820016916,-0.128616631031,-0.330375105143
survface:unknown_unknown_probe:10268_cam2_94,survface:unmated:10268_cam2_94,unknown_unknown_probe,348726,348726,16.7450313568,True,67544,0.650921046734,True,q1,q2,unknown_unknown_probe|norm=q1|score=q2,0005d858e65fcbffdff4b1556f4848acf9241ca0e7b5fdbf5e19663c439255a8,49,0.1,0.343426585197,0.159518778324,0.211902111769,0.0232828533445,0.183907806873,0.131524473429
survface:unknown_unknown_probe:9904_cam2_100,survface:unmated:9904_cam2_100,unknown_unknown_probe,432582,432582,19.1141891479,True,151400,0.702725768089,True,q1,q3,unknown_unknown_probe|norm=q1|score=q3,000a86a9f03592f70d5f5cd5103407f1643695e4d646c7decce562e74a788cf4,50,0.1,0.269310057163,0.311609894037,0.324837774038,0.0122035272824,-0.042299836874,-0.0555277168751
survface:unknown_unknown_probe:5769_cam2_1,survface:unmated:5769_cam2_1,unknown_unknown_probe,377368,377368,16.7918605804,True,96186,0.774643301964,True,q1,q4,unknown_unknown_probe|norm=q1|score=q4,0010f361207d130c274791738893fb9d0e7cfc11b00368acb25dae86e75e7349,51,0.1,0.14696842432,0.166617453098,0.169345378876,0.0331729025077,-0.0196490287781,-0.0223769545555
survface:unknown_unknown_probe:distractors_7967,survface:unmated:distractors_7967,unknown_unknown_probe,461083,461083,20.7224788666,True,179901,0.549392938614,True,q2,q1,unknown_unknown_probe|norm=q2|score=q1,000d31295880aeea86bef0ae2240fea7c3a49855a762bc32b3de2adebf8dd563,52,0.1,0.145640403032,0.416408956051,0.393753021955,0.0434661318182,-0.270768553019,-0.248112618923
survface:unknown_unknown_probe:9359_cam3_51,survface:unmated:9359_cam3_51,unknown_unknown_probe,413989,413989,19.5758705139,True,132807,0.639818429947,True,q2,q2,unknown_unknown_probe|norm=q2|score=q2,0006d7ee038ae037a3e9f0be9a0569a914f89d3fef7ae66c011dba497939b2d0,53,0.1,0.05970287323,0.113624334335,0.131001293659,0.0233569638317,-0.0539214611053,-0.0712984204292
survface:unknown_unknown_probe:9858_cam4_18,survface:unmated:9858_cam4_18,unknown_unknown_probe,430741,430741,20.4089260101,True,149559,0.728202164173,True,q2,q3,unknown_unknown_probe|norm=q2|score=q3,000c5a25b25609bc1f3300bf8b12e4f4b8c026685d892048a28e846f1c6214f1,54,0.1,0.0271162390709,0.0516659617424,0.0443013906479,0.00831519553649,-0.0245497226715,-0.017185151577
survface:unknown_unknown_probe:9404_cam2_5,survface:unmated:9404_cam2_5,unknown_unknown_probe,416003,416003,20.5112686157,True,134821,0.787333190441,True,q2,q4,unknown_unknown_probe|norm=q2|score=q4,000c0f03644942a3c4704a3cb0bf7f13698e5965e798e4e933abe6fa6ee791e7,55,0.1,-0.012498497963,0.161835670471,0.128520965576,0.0132266450384,-0.174334168434,-0.141019463539
survface:unknown_unknown_probe:9915_cam1_8,survface:unmated:9915_cam1_8,unknown_unknown_probe,433218,433218,21.9075469971,True,152036,0.495814651251,True,q3,q1,unknown_unknown_probe|norm=q3|score=q1,002315c217491217bee2baad88e235217a0e574d065c21164e1c5541ffbbb1d3,56,0.1,0.102338731289,0.0755008459091,0.246745496988,0.0282909525952,0.0268378853798,-0.144406765699
survface:unknown_unknown_probe:distractors_13081,survface:unmated:distractors_13081,unknown_unknown_probe,438291,438291,21.5809764862,True,157109,0.681624650955,True,q3,q2,unknown_unknown_probe|norm=q3|score=q2,001065bd697fa168f1e16f2fca8804d5acebb954d896b96b22af3c5d208d8703,57,0.1,0.159115970135,0.160650312901,0.17663192749,0.0103961383169,-0.00153434276581,-0.0175159573555
survface:unknown_unknown_probe:9477_cam1_24,survface:unmated:9477_cam1_24,unknown_unknown_probe,418859,418859,22.6753120422,True,137677,0.697202265263,True,q3,q3,unknown_unknown_probe|norm=q3|score=q3,0014d916926090ca1d723bf8d882234d5ebb4cd2230d01a885b3bc9496141202,58,0.1,0.042083978653,0.282045245171,0.25660482049,0.0293798050821,-0.239961266518,-0.214520841837
survface:unknown_unknown_probe:5644_cam1_26,survface:unmated:5644_cam1_26,unknown_unknown_probe,370335,370335,22.2668361664,True,89153,0.781636595726,True,q3,q4,unknown_unknown_probe|norm=q3|score=q4,0004e84ccfba1bd77e1b978538c40773e2b30fe93d3aa65f3aa2ee59cb97fc24,59,0.1,0.193189382553,0.367470264435,0.287551522255,0.021367097678,-0.174280881882,-0.0943621397018
survface:unknown_unknown_probe:distractors_5076,survface:unmated:distractors_5076,unknown_unknown_probe,457872,457872,24.0421085358,True,176690,0.525004863739,True,q4,q1,unknown_unknown_probe|norm=q4|score=q1,000e66434adacefb110f590c4cd5d01ea0c838a9046b10eda8bc4151376ec23d,60,0.1,0.236462891102,0.263719379902,0.264923602343,0.037416768388,-0.0272564888,-0.0284607112408
survface:unknown_unknown_probe:9997_cam3_72,survface:unmated:9997_cam3_72,unknown_unknown_probe,434835,434835,24.4232578278,True,153653,0.643215060234,True,q4,q2,unknown_unknown_probe|norm=q4|score=q2,000d222b674d72bf28ab3cfd8305b0e91ca524b2212d2f59937d2159e92ae1e6,61,0.1,0.118066310883,0.386620610952,0.334934026003,0.0234985653216,-0.26855430007,-0.21686771512
survface:unknown_unknown_probe:distractors_11611,survface:unmated:distractors_11611,unknown_unknown_probe,436658,436658,23.4700756073,True,155476,0.733877539635,True,q4,q3,unknown_unknown_probe|norm=q4|score=q3,000d040b0f53c66a81268881100f79ad57a76812b23015b5b9be45f27258842c,62,0.1,0.175024926662,0.366256207228,0.331029951572,0.040032758164,-0.191231280565,-0.15600502491
