reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment,partition_seed
global_empirical,fiqa_l,0.01,tpir_at_rank_k,79,76,73,60423,-4.964996772752098e-05,-0.00014592723480535085,3.203027010241242e-05,mated_identity_cluster,2000,42,False,none,2
global_safe,fiqa_l,0.01,fpir,1693,1704,1611,121736,9.035946638627851e-05,-0.00012321745416310706,0.0003121508838798712,query,2000,42,False,none,2
global_safe,fiqa_l,0.01,tpir_at_rank_k,70,76,67,60423,9.929993545504196e-05,0.0,0.00019983223911202894,mated_identity_cluster,2000,42,False,none,2
fiqa_s,fiqa_l,0.01,fpir,1715,1704,1509,121736,-9.035946638627851e-05,-0.0004025103502661497,0.00023000591443779982,query,2000,42,False,none,2
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,70,76,61,60423,9.929993545504196e-05,-5.1911749071516524e-05,0.00024809447418169757,mated_identity_cluster,2000,42,False,none,2
global_empirical,fiqa_s,0.05,fpir,6470,6279,5657,121736,-0.001568968916343563,-0.0021932706841033055,-0.0009118091608069921,query,2000,42,False,none,2
global_empirical,fiqa_s,0.05,tpir_at_rank_k,421,399,364,60423,-0.0003640997633351538,-0.0007091259376867302,-3.321362902831832e-05,mated_identity_cluster,2000,42,False,none,2
global_safe,fiqa_s,0.05,fpir,6305,6279,5589,121736,-0.00021357692054938557,-0.0008296641913649208,0.0004025103502661497,query,2000,42,False,none,2
global_safe,fiqa_s,0.05,tpir_at_rank_k,415,399,364,60423,-0.0002647998278801119,-0.0005973758349286803,4.9184331438689166e-05,mated_identity_cluster,2000,42,False,none,2
global_empirical,fiqa_l,0.05,fpir,6470,6257,6160,121736,-0.00174968784911612,-0.0020700532299401985,-0.0014293224682920419,query,2000,42,False,none,2
global_empirical,fiqa_l,0.05,tpir_at_rank_k,421,416,406,60423,-8.274994621253496e-05,-0.0002723177089700445,9.995020971886333e-05,mated_identity_cluster,2000,42,False,none,2
global_safe,fiqa_l,0.05,fpir,6305,6257,6108,121736,-0.0003942958533219426,-0.0006902231057370042,-9.857396333048565e-05,query,2000,42,False,none,2
global_safe,fiqa_l,0.05,tpir_at_rank_k,415,416,403,60423,1.6549989242506992e-05,-0.00015058232943075404,0.00018703824984939925,mated_identity_cluster,2000,42,False,none,2
fiqa_s,fiqa_l,0.05,fpir,6279,6257,5586,121736,-0.00018071893277255702,-0.0007721627127554708,0.00043536833804297826,query,2000,42,False,none,2
fiqa_s,fiqa_l,0.05,tpir_at_rank_k,399,416,361,60423,0.0002813498171226189,-6.79485851492991e-05,0.000661061310005212,mated_identity_cluster,2000,42,False,none,2
global_empirical,fiqa_s,0.1,fpir,11654,11340,10146,121736,-0.002579352040481041,-0.0034090162318459617,-0.0017330534928041018,query,2000,42,False,none,2
global_empirical,fiqa_s,0.1,tpir_at_rank_k,772,745,666,60423,-0.0004468497095476888,-0.0010601921100557847,0.00011964746786434196,mated_identity_cluster,2000,42,False,none,2
global_safe,fiqa_s,0.1,fpir,11347,11340,10034,121736,-5.7501478609449955e-05,-0.0008707366760859565,0.0008214496944207137,query,2000,42,False,none,2
global_safe,fiqa_s,0.1,tpir_at_rank_k,751,745,660,60423,-9.929993545504196e-05,-0.000688867855871757,0.00044171972074426985,mated_identity_cluster,2000,42,False,none,2
global_empirical,fiqa_l,0.1,fpir,11654,11242,10596,121736,-0.00338437274101334,-0.004058166852861931,-0.0026777206413879226,query,2000,42,False,none,2
global_empirical,fiqa_l,0.1,tpir_at_rank_k,772,778,716,60423,9.929993545504196e-05,-0.0002811486741316786,0.0004920794212909237,mated_identity_cluster,2000,42,False,none,2
global_safe,fiqa_l,0.1,fpir,11347,11242,10490,121736,-0.0008625221791417494,-0.0015361109285667346,-0.00018071893277255702,query,2000,42,False,none,2
global_safe,fiqa_l,0.1,tpir_at_rank_k,751,778,708,60423,0.0004468497095476888,8.334145359062167e-05,0.0008350169470875263,mated_identity_cluster,2000,42,False,none,2
fiqa_s,fiqa_l,0.1,fpir,11340,11242,10028,121736,-0.0008050207005322994,-0.0016184612604324107,2.0536242360405777e-07,query,2000,42,False,none,2
fiqa_s,fiqa_l,0.1,tpir_at_rank_k,745,778,665,60423,0.0005461496450027307,-0.00010017383054954235,0.001240912116532712,mated_identity_cluster,2000,42,False,none,2
global_empirical,fiqa_s,0.2,fpir,22069,21622,19234,121736,-0.00367188013406059,-0.00480568607478478,-0.0024477147269501226,query,2000,42,False,none,2
global_empirical,fiqa_s,0.2,tpir_at_rank_k,1471,1418,1278,60423,-0.0008771494298528706,-0.0018783586664811662,0.00014926171414822816,mated_identity_cluster,2000,42,False,none,2
global_safe,fiqa_s,0.2,fpir,21478,21622,18972,121736,0.0011828875599658277,3.265262535322373e-05,0.002390829335611485,query,2000,42,False,none,2
global_safe,fiqa_s,0.2,tpir_at_rank_k,1438,1418,1267,60423,-0.00033099978485013986,-0.0012846938219299997,0.000697953147114907,mated_identity_cluster,2000,42,False,none,2
global_empirical,fiqa_l,0.2,fpir,22069,21571,19214,121736,-0.004090819478215154,-0.005175543799697705,-0.0028422159426956693,query,2000,42,False,none,2
global_empirical,fiqa_l,0.2,tpir_at_rank_k,1471,1501,1309,60423,0.0004964996772752097,-0.00048214818291865126,0.0013872403274980995,mated_identity_cluster,2000,42,False,none,2
global_safe,fiqa_l,0.2,fpir,21478,21571,19011,121736,0.0007639482158112637,-0.0003287852401918903,0.001971479266609713,query,2000,42,False,none,2
global_safe,fiqa_l,0.2,tpir_at_rank_k,1438,1501,1293,60423,0.0010426493222779405,1.7305515806773868e-05,0.0019759829201539954,mated_identity_cluster,2000,42,False,none,2
fiqa_s,fiqa_l,0.2,fpir,21622,21571,19041,121736,-0.00041893934415456396,-0.0015196819346783204,0.0008132351974765065,query,2000,42,False,none,2
fiqa_s,fiqa_l,0.2,tpir_at_rank_k,1418,1501,1288,60423,0.0013736491071280803,0.00038270750432244197,0.0024459242956225416,mated_identity_cluster,2000,42,False,none,2
global_empirical,fiqa_s,0.3,fpir,33045,32294,28844,121736,-0.00616908720509956,-0.0075819806795031875,-0.0047067013866070855,query,2000,42,False,none,2
global_empirical,fiqa_s,0.3,tpir_at_rank_k,2161,2123,1877,60423,-0.0006288995912152657,-0.0017881857581274858,0.000566510063148125,mated_identity_cluster,2000,42,False,none,2
global_safe,fiqa_s,0.3,fpir,32195,32294,28480,121736,0.0008132351974765065,-0.0005916491424065186,0.0023004698692252064,query,2000,42,False,none,2
global_safe,fiqa_s,0.3,tpir_at_rank_k,2108,2123,1860,60423,0.00024824983863760486,-0.0008424289973603834,0.0013902667049936759,mated_identity_cluster,2000,42,False,none,2
global_empirical,fiqa_l,0.3,fpir,33045,32393,28295,121736,-0.005355852007623054,-0.006891962936189788,-0.0038029013603206965,query,2000,42,False,none,2
global_empirical,fiqa_l,0.3,tpir_at_rank_k,2161,2253,1914,60423,0.0015225990103106433,0.0004968094452612344,0.002666542518473313,mated_identity_cluster,2000,42,False,none,2
global_safe,fiqa_l,0.3,fpir,32195,32393,27969,121736,0.001626470394953013,0.00013143195110731419,0.0031707958204639547,query,2000,42,False,none,2
global_safe,fiqa_l,0.3,tpir_at_rank_k,2108,2253,1893,60423,0.002399748440163514,0.0013573633270035613,0.003530227008249264,mated_identity_cluster,2000,42,False,none,2
fiqa_s,fiqa_l,0.3,fpir,32294,32393,28275,121736,0.0008132351974765065,-0.0006735887494249852,0.0023002645068016026,query,2000,42,False,none,2
fiqa_s,fiqa_l,0.3,tpir_at_rank_k,2123,2253,1893,60423,0.002151498601525909,0.0008145355525994993,0.003503794179153079,mated_identity_cluster,2000,42,False,none,2
global_empirical,fiqa_s,0.01,fpir,1802,1710,1545,121736,-0.0007557337188670566,-0.0010925280935795492,-0.0004435828349871854,query,2000,42,False,none,3
global_empirical,fiqa_s,0.01,tpir_at_rank_k,79,70,62,60423,-0.00014894990318256292,-0.00031202478385823363,1.6408082160140913e-05,mated_identity_cluster,2000,42,False,none,3
global_safe,fiqa_s,0.01,fpir,1701,1710,1513,121736,7.393047249786423e-05,-0.00023822041138200697,0.0003860813563777354,query,2000,42,False,none,3
global_safe,fiqa_s,0.01,tpir_at_rank_k,71,70,59,60423,-1.6549989242506992e-05,-0.00014515503966811612,0.00011045409006857144,mated_identity_cluster,2000,42,False,none,3
global_empirical,fiqa_l,0.01,fpir,1802,1710,1680,121736,-0.0007557337188670566,-0.000961096142472235,-0.0005668002891502925,query,2000,42,False,none,3
global_empirical,fiqa_l,0.01,tpir_at_rank_k,79,76,73,60423,-4.964996772752098e-05,-0.00014592723480535085,3.203027010241242e-05,mated_identity_cluster,2000,42,False,none,3
global_safe,fiqa_l,0.01,fpir,1701,1710,1622,121736,7.393047249786423e-05,-0.00013964644805152134,0.00028771275547085387,query,2000,42,False,none,3
global_safe,fiqa_l,0.01,tpir_at_rank_k,71,76,68,60423,8.274994621253496e-05,0.0,0.00017890041745480546,mated_identity_cluster,2000,42,False,none,3
fiqa_s,fiqa_l,0.01,fpir,1710,1710,1513,121736,0.0,-0.00030393638693566405,0.00032036538082407835,query,2000,42,False,none,3
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,70,76,61,60423,9.929993545504196e-05,-5.1911749071516524e-05,0.00024809447418169757,mated_identity_cluster,2000,42,False,none,3
global_empirical,fiqa_s,0.05,fpir,6470,6357,5676,121736,-0.0009282381546954064,-0.001568968916343563,-0.00030393638693566405,query,2000,42,False,none,3
