partition_seed,target_fpir,method,split,partition,route,query_count,mated_count,non_mated_count,false_accept_count,true_identification_at_rank_k_count,tpir_available,realized_fpir,tpir_at_rank_k,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
1,0.05,baseline,test,test,baseline,182159,60423,121736,5374,510.0,True,0.04414470657816915,0.008440494513678566,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_outside,calibration,fit,saliency,113799,44095,69704,3020,,False,0.043326064501319865,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_outside,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_outside,calibration,safety,saliency,46608,17487,29121,1456,,False,0.04999828302599499,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_outside,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_outside,test,test,saliency,182157,60422,121735,5223,484.0,True,0.04290466997987432,0.00801032736420509,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_outside,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_entropy,calibration,fit,saliency,113799,44095,69704,2990,,False,0.04289567313210146,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_entropy,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_entropy,calibration,safety,saliency,46608,17487,29121,1456,,False,0.04999828302599499,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_entropy,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_entropy,test,test,saliency,182157,60422,121735,5417,518.0,True,0.04449829547788228,0.008573036311277349,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_entropy,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_both,calibration,fit,saliency,113799,44095,69704,3025,,False,0.043397796396189604,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_both,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_both,calibration,safety,saliency,46608,17487,29121,1456,,False,0.04999828302599499,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_both,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_both,test,test,saliency,182157,60422,121735,5339,500.0,True,0.04385755945291001,0.008275131574592035,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.05,plus_both,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.1,baseline,calibration,fit,baseline,113800,44096,69704,6004,,False,0.08613565935957765,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.1,baseline,calibration,safety,baseline,46608,17487,29121,2912,,False,0.09999656605198998,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.1,baseline,test,test,baseline,182159,60423,121736,10398,828.0,True,0.0854143392258658,0.013703391092795789,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.1,plus_outside,calibration,fit,saliency,113799,44095,69704,5924,,False,0.08498794904166189,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.1,plus_outside,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1,0.1,plus_outside,calibration,safety,saliency,46608,17487,29121,2912,,False,0.09999656605198998,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
