analysis_scope,dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,event_count,non_event_count,event_rate,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version,event_support_eligible,association_status,run_id,source_run_dir
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,angular_error_rad,9122,1674,,,,-0.051866139091,0.95,-0.108595407131,-0.00383817647273,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,reconstruction_mse,9122,1674,,,,-0.0518651348404,0.95,-0.108591521208,-0.00383547346939,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,cosine_to_origin,9122,1674,,,,0.051866139091,0.95,0.00383817647273,0.108595407131,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_right_asymmetry,angular_error_rad,9122,1674,,,,-0.0447281209823,0.95,-0.110609141603,0.0205259569016,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_right_asymmetry,reconstruction_mse,9122,1674,,,,-0.0447286310103,0.95,-0.110607886622,0.0205241755803,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_right_asymmetry,cosine_to_origin,9122,1674,,,,0.0447281209823,0.95,-0.0205259569016,0.110609141603,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_center_x,angular_error_rad,9122,1674,,,,0.0478761128438,0.95,0.00327882425434,0.0954411561339,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_center_x,reconstruction_mse,9122,1674,,,,0.0478780597994,0.95,0.00328145101263,0.0954418569608,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_center_x,cosine_to_origin,9122,1674,,,,-0.0478761128438,0.95,-0.0954411561339,-0.00327882425434,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_center_y,angular_error_rad,9122,1674,,,,0.0440473248638,0.95,-0.0382501279017,0.123109752851,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_center_y,reconstruction_mse,9122,1674,,,,0.0440484008566,0.95,-0.0382482199133,0.123114082938,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_center_y,cosine_to_origin,9122,1674,,,,-0.0440473248638,0.95,-0.123109752851,0.0382501279017,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_spread,angular_error_rad,9122,1674,,,,-0.00119776830608,0.95,-0.0549378206968,0.0467399356409,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_spread,reconstruction_mse,9122,1674,,,,-0.00119737845807,0.95,-0.0549371751386,0.0467442154086,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_spread,cosine_to_origin,9122,1674,,,,0.00119776830608,0.95,-0.0467399356409,0.0549378206968,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_left,angular_error_rad,9122,1674,,,,0.00416344188675,0.95,-0.051442224001,0.051088099564,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_left,reconstruction_mse,9122,1674,,,,0.00416298683131,0.95,-0.0514416620954,0.0510881106848,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_left,cosine_to_origin,9122,1674,,,,-0.00416344188675,0.95,-0.051088099564,0.051442224001,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_right,angular_error_rad,9122,1674,,,,-0.050053553453,0.95,-0.101930473638,0.00116444631351,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_right,reconstruction_mse,9122,1674,,,,-0.0500535616581,0.95,-0.101929830987,0.00116331259499,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_right,cosine_to_origin,9122,1674,,,,0.050053553453,0.95,-0.00116444631351,0.101930473638,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_bottom_left,angular_error_rad,9122,1674,,,,0.0212203507248,0.95,-0.0221577921234,0.0650737227454,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_bottom_left,reconstruction_mse,9122,1674,,,,0.0212210488872,0.95,-0.0221572964231,0.0650745980619,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_bottom_left,cosine_to_origin,9122,1674,,,,-0.0212203507248,0.95,-0.0650737227454,0.0221577921234,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_bottom_right,angular_error_rad,9122,1674,,,,0.0694829671413,0.95,0.0256107163291,0.117554057286,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_bottom_right,reconstruction_mse,9122,1674,,,,0.0694833945587,0.95,0.0256107276395,0.117554323099,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_bottom_right,cosine_to_origin,9122,1674,,,,-0.0694829671413,0.95,-0.117554057286,-0.0256107163291,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,left_eye_attention,angular_error_rad,9122,1674,,,,0.0481639561095,0.95,0.00810151715664,0.0810762975947,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,left_eye_attention,reconstruction_mse,9122,1674,,,,0.0481623114813,0.95,0.00809870714253,0.0810761422458,500,weighted_rerank,identity-cluster-weighted-rerank-v1,,continuous_outcome,20260829-R001-245d09db,C:\ronbun\runs\lfw_20260829\20260829-R001-245d09db_step4_lfw_arcface-7972a704552df378345f
